curso,g5-sisu,g5-menor,g5-maior,g4-sisu,g4-menor,g4-maior,g3-sisu,g3-menor,g3-maior,g2-sisu,g2-menor,g2-maior,g1-sisu,g1-menor,g1-maior
ABI - MATEMÁTICA - Área Básica de Ingresso (ABI) - Noturno,713.9,612.24,774.44,697.71,510.46,696.77,659.3,627.3,627.3,666.09,593.83,700.39,646.01,504.04,633.47
BIBLIOTECONOMIA - Bach - Noturno,671.6,609.13,749,668.5,610.31,681.18,655.89,558.48,655.89,647.79,577.23,669.35,630.33,523.24,631.98
BIOTECNOLOGIA - Bach - Integral,745.22,654.87,755.13,719.64,642.49,760.42,672.33,617.56,696.87,695.64,654.13,707.81,669.12,640.94,674.08
CIÊNCIA DA COMPUTAÇÃO - Bach - Integral,759.98,704.08,780.76,740.56,664.64,725.75,707.99,641.35,720.13,708.25,611.25,696.7,682.78,637.34,725.33
CIÊNCIAS BIOLÓGICAS - Bach - Integral,735.16,685.88,736.81,713.5,641.74,725.03,-,-,-,684.9,615.14,646.43,678.88,664.58,678.88
CIÊNCIAS BIOLÓGICAS - Lic - Integral,710.38,640.71,738.84,676.21,647.39,693.25,647.01,615.98,660.04,649.58,597.59,660.71,645.83,516.09,599.78
CIÊNCIAS SOCIAIS - Bach - Integral,698.89,630.49,770.73,672.13,607.04,709.79,649.77,557.07,625.44,649.49,563.26,691.96,642.07,575.06,653.4
EDUCAÇÃO ESPECIAL - Lic - Integral,641.57,587.94,646.73,624.5,540.1,624.5,600.77,526.14,608.51,612.73,585,602.43,595.21,571.46,583.7
EDUCAÇÃO FÍSICA - Bach - Integral,682.95,645.07,707.62,650.7,608.65,723.18,645.87,632.97,669.65,634.68,610.7,659.45,624.02,574.33,609.25
EDUCAÇÃO FÍSICA - Lic - Integral,667.7,607.77,691.5,656.5,603.47,654.33,630.75,611.52,634.3,631.57,564.95,588.93,636.62,643.17,643.17
ENFERMAGEM - Bach - Integral,714.73,618.44,727.29,679.89,606.68,658.69,675.98,580.39,684.35,672.63,586.81,688.1,635.09,521.3,649.69
ENGENHARIA CIVIL - Bach - Integral,771.7,734,830.79,746.44,700.59,749.86,721.36,645.9,691.43,706.41,670.38,723.68,703.41,699.24,721.88
ENGENHARIA DE COMPUTAÇÃO - Bach - Integral,802.11,746.01,828.54,762.55,712.81,760.96,706.69,706.69,736.11,732.98,669.19,737.5,707.83,704.66,723.88
ENGENHARIA DE MATERIAIS - Bach - Integral,774.97,736.07,787.76,738.13,681.17,753.47,699.37,651.29,725.06,689.73,632.53,709.61,662.79,626.91,679.91
ENGENHARIA DE PRODUÇÃO - Bach - Integral,771.76,739.84,810.64,736.61,699.03,754.11,702.17,623.16,719.43,684.29,649.33,698.2,672.36,612.96,727.26
ENGENHARIA ELÉTRICA - Bach - Integral,772.64,714.73,793.9,746.27,637.16,765.57,690.79,655.4,725.01,697.61,641.66,702.51,680.2,602.61,702.19
ENGENHARIA FÍSICA - Bach - Integral,791.63,733.94,837.89,755.47,658.14,796.59,697.4,676.43,734.27,706.34,702.49,731.06,690.29,532.3,688.84
ENGENHARIA MECÂNICA - Bach - Integral,786.73,724.03,820.63,757.61,687.57,768.59,717.01,647.54,717.01,696.24,670.79,697.49,690.11,641.29,709.94
ENGENHARIA QUÍMICA - Bach - Integral,771.25,735.2,793.35,739.13,688.45,757.91,719.59,679.39,729.33,696.48,656.29,733.25,677.19,614.85,684.34
ESTATÍSTICA - Bach - Integral,736.09,671.13,755.26,703.83,621.66,680.31,665.64,546.67,596.21,684.13,475.4,726.83,660.14,660.7,660.7
FILOSOFIA - Lic OU Bach - Área Básica de Ingresso (ABI) - Noturno,701.98,646.94,726.84,689.09,628.89,716.96,649.66,580.39,649.66,668.43,555.68,695.43,638.48,534.06,610.41
FÍSICA - Lic - Noturno,736.24,579.39,731.27,686.91,617.17,697.5,655.4,522.91,634.41,680.6,575.07,692.33,658.13,570.66,607.37
FÍSICA - Lic ou Bach - Área Básica de Ingresso (ABI) - Integral,758.38,668.56,758.18,718.16,657.76,737.93,651.4,611.81,680.18,702.94,570.98,735.76,651.3,574.66,658.59
FISIOTERAPIA - Bach - Integral,718.59,656.81,760.75,693.1,681.31,712.61,664.9,542.09,631.83,663.46,602.85,660.99,657.5,654.59,658.93
GERONTOLOGIA - Bach - Integral,665.48,597.38,725.53,643.93,592.03,685.26,622.46,562.14,630.3,625.31,525.37,623.61,609.19,542.84,568.4
GESTÃO E ANÁLISE AMBIENTAL - Bach - Integral,680.5,640.31,713.15,662.78,590.41,678.09,629.58,553.88,629.58,637.99,586.45,662.36,628.61,538.16,598.38
IMAGEM E SOM - Bach - Noturno,743.23,710.95,779.4,721.88,701.56,746.46,700.65,695.88,715.06,688.53,674.8,712.73,682,630.21,682
LETRAS - Lic - Noturno,715.64,651.46,728.3,701.65,637.76,729.29,669.23,642.13,680.63,676.11,638.6,689.78,654.09,577.23,650.18
LINGUÍSTICA - Bach - Vespertino,692,612.53,749.2,672.16,572.35,672.16,640.61,630.11,630.11,655.96,572.46,736.75,637.7,540.16,661.59
MATEMÁTICA - Lic ou Bach - Integral,747.09,603.57,804.69,731.06,561.27,620.46,709.17,586.04,709.17,673.66,550.46,709.23,658.19,592.67,666.26
MEDICINA - Bach - Integral,783.37,769.74,790.13,759.59,739.23,768.2,730.37,693.97,734.33,739.09,716.49,740.07,737.31,668.47,713.96
PEDAGOGIA - Lic - Matutino,664.16,575.04,692.31,654.49,584.81,673.16,619.23,553.03,644.19,633.91,555.44,619.36,613.57,575.56,622.9
PEDAGOGIA - Lic - Noturno,661.14,594.4,689.64,651.03,595.76,663.81,639.3,603.21,643.67,620.76,567.66,625.41,625.3,572.11,637.6
PSICOLOGIA - Bach - Integral,745.81,716.57,754.22,718.2,684.8,739.84,700.74,674.68,727.73,707.83,666.03,736.89,681.71,677.24,690.28
QUÍMICA - Bach - Integral,739.8,653.71,780.74,703.76,612.61,732.64,694.2,470.79,696.62,675.7,565.44,696.12,652.58,642.94,664.73
