curso,g5-sisu,g5-menor,g5-maior,g4-sisu,g4-menor,g4-maior,g3-sisu,g3-menor,g3-maior,g2-sisu,g2-menor,g2-maior,g1-sisu,g1-menor,g1-maior
ENGENHARIA AGRONÔMICA - Bach - Integral,687.07,538.04,700.97,651.44,582.42,696.16,623.11,519.07,641.6,634.5,456.4,650.7,613.89,434.6,617.52
ENGENHARIA AMBIENTAL - Bach - Integral,710.73,450.31,720.02,679.3,505.51,647.98,654.48,495.39,672.49,656.89,530.04,657.99,633.4,453.67,640.06
ENGENHARIA DE ALIMENTOS - Bach - Integral,705.76,474.64,677.44,682.01,394.44,652.5,638.41,455.38,671.62,641.54,534.18,654.43,636.81,488.61,640.49
