curso,g5-sisu,g5-menor,g5-maior,g4-sisu,g4-menor,g4-maior,g3-sisu,g3-menor,g3-maior,g2-sisu,g2-menor,g2-maior,g1-sisu,g1-menor,g1-maior
ENGENHARIA AGRONÔMICA - Bach - Integral,680.79,558.37,688.58,660.16,558.5,644.26,632.54,553.4,652.24,634.33,572.19,643.04,620.74,554.8,623.48
ENGENHARIA AMBIENTAL - Bach - Integral,712.89,543.78,710.82,681.41,557.36,714.03,652.29,579.87,685.2,650.59,530.24,671.24,639.3,466.22,640.51
ENGENHARIA DE ALIMENTOS - Bach - Integral,716.2,514.17,730.09,680.06,503.9,685.28,644.28,520.34,665.5,642.71,488.18,626.24,622.02,624.46,629.14
