curso,g5-sisu,g5-menor,g5-maior,g4-sisu,g4-menor,g4-maior,g3-sisu,g3-menor,g3-maior,g2-sisu,g2-menor,g2-maior,g1-sisu,g1-menor,g1-maior
ADMINISTRAÇÃO - Bach - Noturno,728.89,662.11,762.43,690.36,635.08,712.11,666.19,624.86,667.46,670.44,606.35,668.41,655.64,575.96,643.06
CIÊNCIA DA COMPUTAÇÃO - Bach - Integral,731.36,652.39,746.38,721.44,649.16,726.7,686.61,599.23,690.35,687.39,652.88,709.29,659.69,654.64,694.68
CIÊNCIAS BIOLÓGICAS - Bach - Integral,708.61,636.48,728.95,690.31,608.01,682.63,653.13,653.13,717.09,668.01,592.08,669.23,659.36,586.44,663.7
CIÊNCIAS BIOLÓGICAS - Lic - Integral,688.96,596.84,718.91,666.38,525.56,660.36,637.29,637.29,646.69,638.41,551.73,640.34,631.69,611.63,635.39
CIÊNCIAS BIOLÓGICAS - Lic - Noturno,684.85,609.76,722.05,658.75,619.38,675.05,657.15,615.16,660.39,642.06,575.85,652.46,632.66,483.41,630.61
CIÊNCIAS ECONÔMICAS - Bach - Integral,737.41,669.63,770.88,715.1,611.47,698.56,676.79,519.28,676.79,689.02,587.38,696.6,652.24,599.4,663.28
ENGENHARIA DE PRODUÇÃO - Bach - Integral,771.83,748.23,788.48,732.45,676.54,743.68,698.29,639.14,715.91,685.59,651.35,688,681.39,606.64,695.59
ENGENHARIA FLORESTAL - Bach - Integral,695.53,630.53,710,674.71,645.39,727.11,671.33,515.6,680.11,655.13,577.8,658.44,631.13,575.97,648.27
FÍSICA - Lic - Noturno,692.86,609.08,752.09,682.39,633.59,709.44,646.06,511.6,646.06,641.64,562.94,669.02,-,-,-
GEOGRAFIA - Lic - Noturno,676.58,597.05,687.18,659.95,553.3,664.73,644.94,538.99,659.13,652.55,496.8,685.56,638.19,555.94,642.95
MATEMÁTICA - Lic - Noturno,700.65,587.54,736.18,689.63,571.11,682.69,667.29,518.25,639.15,656.08,531.34,640.24,636.93,562.19,648.88
PEDAGOGIA - Lic - Noturno,664.08,616.08,718.71,647.95,570.58,663.94,644.64,607.26,639.59,642.35,576.19,645.4,619.8,569.69,631.9
QUÍMICA - Lic - Noturno,699.62,564.79,735.58,685.08,623.24,682.39,657.46,479.69,649.81,651.11,563.16,651.11,-,-,-
TURISMO - Bach - Integral,675.88,531.84,704.89,655.54,519.17,646.5,628.87,485.68,563.18,641.52,537.19,644.96,623.44,554.56,554.56
