curso,g1-sisu,g1-menor,g1-maior,g2-sisu,g2-menor,g2-maior,g3-sisu,g3-menor,g3-maior,g4-sisu,g4-menor,g4-maior,g5-sisu,g5-menor,g5-maior
ADMINISTRAÇÃO - Bach - Noturno,654.4,565.25,660.25,676.15,614.25,675.15,665.95,593.2,666.74,689.34,651.4,739.96,735.71,668.04,762.81
CIÊNCIA DA COMPUTAÇÃO - Bach - Integral,659.48,597.09,660.46,694.29,673.66,706.86,685.13,637.88,723.48,717.81,633.36,738.13,740.24,694.45,762.38
CIÊNCIAS BIOLÓGICAS - Bach - Integral,660.34,647.76,711.76,675.29,605.63,658.55,670.99,665.36,671.73,689.38,637.88,689.38,713.8,679.01,736.61
CIÊNCIAS BIOLÓGICAS - Lic - Integral,625.11,620.74,645.68,642.89,557.28,640.44,633.91,593.69,667.93,667.59,613.05,667.59,692.65,639.83,724.9
CIÊNCIAS BIOLÓGICAS - Lic - Noturno,629.11,499.19,624.49,653.99,605.4,673.36,652.84,615.29,657.44,680.61,562.69,683.25,684.09,606.93,700.58
CIÊNCIAS ECONÔMICAS - Bach - Integral,668.37,645.6,687.29,685.54,626.24,689.81,673.73,591.7,690.21,702.44,632,709.93,744.69,686.27,751.08
ENGENHARIA DE PRODUÇÃO - Bach - Integral,670.79,614.04,697.25,687.29,592.39,709.41,681.46,666.08,727.5,713.76,683.05,747.93,767.91,732.23,797.69
ENGENHARIA FLORESTAL - Bach - Integral,647.18,532.58,628.03,666.9,585.83,700.09,643.41,583.08,651.53,675.3,594.13,698.42,703.01,640.99,750.28
FÍSICA - Lic - Noturno,635.62,545.97,637.17,659.12,567.78,683.36,639.42,586.79,671.29,688.13,608.01,699.06,708.66,597.99,724.31
GEOGRAFIA - Lic - Noturno,649.34,539.58,649.34,655.21,575.68,686.69,649.73,613.84,693.7,655.71,614.99,765.21,687.39,620.79,790.43
MATEMÁTICA - Lic - Noturno,647.04,630.3,653.33,673.88,573.09,675.93,659.18,659.18,688.19,687.41,650.39,699.86,701.54,624.43,765.11
PEDAGOGIA - Lic - Noturno,639.74,577.55,642.74,652.81,593.98,682.71,640.63,612.7,690.9,662.13,639.63,705.56,679.01,625.61,704.48
QUÍMICA - Lic - Noturno,621.69,621.69,640.92,657.34,648.89,659.9,676.32,513.6,704.46,679.34,587.43,690.3,687.8,635.03,730.29
TURISMO - Bach - Integral,614.44,533.71,614.44,636.5,559.29,646.39,637.66,521.27,689.53,652.91,585.48,676.47,669.86,602.11,673.31
