curso,g1-sisu,g1-menor,g1-maior,g2-sisu,g2-menor,g2-maior,g3-sisu,g3-menor,g3-maior,g4-sisu,g4-menor,g4-maior,g5-sisu,g5-menor,g5-maior
AGROECOLOGIA - Bach - Integral,565.67,532.14,599.21,593.06,552.78,633.34,549.165,509.4,588.93,545.425,431.09,659.76,673.64,601.09,746.19
BIOTECNOLOGIA - Bach - Integral,572.97,494.41,651.54,644.7,604.86,684.54,612.245,493.7,730.79,648.265,577.5,719.03,739.585,711.5,767.67
CIÊNCIAS BIOLÓGICAS - Lic - Noturno,547.14,475.66,618.63,611.4,552.6,670.2,544.995,458.28,631.71,648.265,438.36,646.64,599.295,493.2,705.39
ENGENHARIA AGRONÔMICA - Bach - Integral,584.89,572.79,597,606.53,564,649.06,535.79,396.11,675.47,542.5,650.36,674.97,699.875,649.81,749.94
FÍSICA - Lic - Noturno,546.41,507.48,585.34,580.355,536.22,624.49,617.515,584.57,650.46,662.665,575.2,663.01,565.98,453.29,678.67
QUÍMICA - Lic - Noturno,560.81,524.27,597.36,617.145,585.82,648.47,601.85,597.24,606.46,620.23,576.64,663.82,660.73,598.83,722.63
