curso,g1-sisu,g1-menor,g1-maior,g2-sisu,g2-menor,g2-maior,g3-sisu,g3-menor,g3-maior,g4-sisu,g4-menor,g4-maior,g5-sisu,g5-menor,g5-maior
AGROECOLOGIA - Bach - Integral,602.66,602.66,602.66,-,-,-,626.50,626.50,626.50,543.44,472.48,614.39,595.41,513.16,677.66
BIOTECNOLOGIA - Bach - Integral,-,-,-,670.01,663.03,676.99,585.50,531.47,639.53,624.21,558.30,690.11,738.78,672.49,805.07
CIÊNCIAS BIOLÓGICAS - Lic - Noturno,-,-,-,583.03,528.80,637.25,-,-,-,600.01,525.14,674.88,608.42,528.68,688.16
ENGENHARIA AGRONÔMICA - Bach - Integral,601.97,592.01,611.93,582.24,494.37,670.11,590.25,551.96,628.54,607.43,536.61,678.24,625.15,543.43,706.87
FÍSICA - Lic - Noturno,583.33,583.33,583.33,-,-,-,640.60,640.60,640.60,661.22,661.22,661.22,544.05,432.46,655.64
QUÍMICA - Lic - Noturno,-,-,-,603.50,573.11,633.88,468.32,468.32,468.32,632.96,590.74,675.18,619.64,562.88,676.40
