curso,g1-sisu,g1-menor,g1-maior,g2-sisu,g2-menor,g2-maior,g3-sisu,g3-menor,g3-maior,g4-sisu,g4-menor,g4-maior,g5-sisu,g5-menor,g5-maior
ADMINISTRAÇÃO - Bach - Noturno,602.92,547.59,658.26,658.74,-,658.74,603.97,539.96,667.99,695.88,643.99,747.78,695.29,643.43,747.15
CIÊNCIA DA COMPUTAÇÃO - Bach - Integral,657.94,644.35,671.54,697.77,684.96,710.58,672.77,615.88,729.66,740.60,716.26,764.95,758.52,732.40,784.65
CIÊNCIAS BIOLÓGICAS - Bach - Integral,-,-,-,647.62,634.69,660.55,625.12,610.34,638.91,623.23,535.39,711.08,695.17,636.08,754.26
CIÊNCIAS BIOLÓGICAS - Lic - Integral,603.11,-,603.11,654,651.15,656.86,586.98,537.98,635.98,623.02,569.70,676.34,636.62,577.35,695.89
CIÊNCIAS BIOLÓGICAS - Lic - Noturno,574.40,-,574.40,565.28,-,565.28,642.91,640.18,645.64,599.04,540.35,657.74,683.14,590.63,775.65
CIÊNCIAS ECONÔMICAS - Bach - Integral,-,-,-,676.27,647.88,704.66,655.30,631.12,679.49,640.49,541.43,739.56,677.38,594.50,760.27
ENGENHARIA DE PRODUÇÃO - Bach - Integral,536.70,504.08,569.33,670.35,645.94,694.76,671.20,-,671.20,627.06,535.41,718.71,689.89,587.95,791.83
ENGENHARIA FLORESTAL - Bach - Integral,-,-,-,624.37,,624.37,-,-,-,628.28,595.60,660.96,617.38,502.87,731.90
FÍSICA - Lic - Noturno,582.82,-,582.82,622.99,621.04,624.94,638.10,637.08,639.13,617.55,585.81,649.29,656.28,592.69,719.88
GEOGRAFIA - Lic - Noturno,577.96,525.66,630.26,602.16,580.73,623.60,550.72,465.25,636.19,666.72,568.75,674.70,595.05,515.96,674.14
MATEMÁTICA - Lic - Noturno,560.70,-,560.70,-,-,-,548.81,-,548.81,661.96,625.73,698.20,683.34,596.13,770.55
PEDAGOGIA - Lic - Noturno,560.54,546.38,574.71,588.37,533.19,643.56,-,-,-,632.34,571.88,692.80,626.84,554.95,698.74
QUÍMICA - Lic - Noturno,-,-,-,552.76,463.94,641.58,587.24,-,587.24,573.58,555.68,591.48,620.96,543.33,698.59
TURISMO - Bach - Integral,594.71,-,594.71,508.67,-,508.67,-,-,-,574.31,508.92,636.71,628.92,533.98,723.87
