curso,g1-sisu,g1-menor,g1-maior,g2-sisu,g2-menor,g2-maior,g3-sisu,g3-menor,g3-maior,g4-sisu,g4-menor,g4-maior,g5-sisu,g5-menor,g5-maior
AGROECOLOGIA - Bach - Integral,619.56,492.79,508.54,652.06,493.33,665.27,613.63,567.04,661.57,658.14,620.17,661.94,681.43,633.37,746.67
BIOTECNOLOGIA - Bach - Integral,656.88,627.26,639.11,658.21,623.44,688.98,661.51,558.97,558.97,699.79,604.07,699.79,724.28,627.62,745.4
CIÊNCIAS BIOLÓGICAS - Lic - Noturno,623.68,587.26,627.14,640.76,600.28,638.53,633.74,589.33,633.74,659.55,619.09,687.06,681.71,615.08,727.94
ENGENHARIA AGRONÔMICA - Bach - Integral,643.33,568.39,643.33,662.16,660.23,674.5,644.37,576.79,662.27,684.6,611.13,704.86,708.79,636.27,746.36
FÍSICA - Lic - Noturno,619.33,522.84,563.5,653.47,491.39,653.08,638.01,496.83,647.58,665.66,519.52,695.3,682.33,490.23,705
QUÍMICA - Lic - Noturno,626.52,587.39,628.09,646.26,560.22,617.31,628.7,547.17,576.18,668.77,514.74,680.31,683.66,584.89,708.01
