curso,g1-sisu,g1-menor,g1-maior,g2-sisu,g2-menor,g2-maior,g3-sisu,g3-menor,g3-maior,g4-sisu,g4-menor,g4-maior,g5-sisu,g5-menor,g5-maior
ADMINISTRAÇÃO - Bach - Noturno,586.44,566.81,606.08,659.45,633.09,685.81,683.70,660.20,707.21,702.04,679.54,724.55,716.01,685.44,746.58
CIÊNCIA DA COMPUTAÇÃO - Bach - Integral,655.08,634.16,676.01,656.65,589.00,724.31,678.19,670.10,686.28,715.04,691.61,738.48,740.01,705.94,774.08
CIÊNCIAS BIOLÓGICAS - Bach - Integral,591.16,514.59,667.73,655.45,618.25,692.66,668.05,630.50,705.61,662.70,631.66,693.74,707.42,660.85,754.00
CIÊNCIAS BIOLÓGICAS - Lic - Integral,607.10,602.16,612.05,559.09,467.13,651.05,621.78,586.51,657.06,672.65,624.60,720.71,649.59,593.51,705.68
CIÊNCIAS BIOLÓGICAS - Lic - Noturno,602.10,578.24,625.96,604.56,527.53,681.59,643.98,637.78,650.19,669.69,646.60,692.78,664.57,629.85,699.29
CIÊNCIAS ECONÔMICAS - Bach - Integral,566.18,439.86,692.51,677.57,633.51,721.64,607.70,544.00,671.40,686.86,664.78,708.94,719.99,678.72,761.27
ENGENHARIA DE PRODUÇÃO - Bach - Integral,600.03,501.48,698.59,622.84,545.93,699.76,644.88,606.93,682.83,683.50,659.01,707.99,747.58,717.96,777.20
ENGENHARIA FLORESTAL - Bach - Integral,542.98,448.00,637.96,629.38,571.84,686.93,629.17,613.82,644.52,633.07,588.90,677.24,655.73,590.09,721.37
FÍSICA - Lic - Noturno,639.02,629.00,649.04,604.36,536.49,672.24,563.55,549.84,577.26,654.46,630.70,678.23,632.66,545.11,720.21
GEOGRAFIA - Lic - Noturno,570.98,540.46,601.50,596.60,538.35,654.85,625.81,574.65,676.98,615.14,536.38,693.90,609.12,490.44,727.80
MATEMÁTICA - Lic - Noturno,526.44,497.14,555.75,683.26,629.19,737.33,618.81,570.60,667.03,600.29,509.73,690.86,651.76,554.41,749.11
PEDAGOGIA - Lic - Noturno,627.82,597.91,657.73,572.47,482.90,662.05,591.89,545.80,637.98,569.59,478.38,660.81,645.71,565.54,725.89
QUÍMICA - Lic - Noturno,531.84,502.79,560.90,559.42,485.63,633.21,581.45,573.28,589.62,648.62,612.31,684.94,669.84,633.29,706.40
TURISMO - Bach - Integral,515.91,,515.91,607.43,584.90,629.97,541.46,492.72,590.21,561.72,465.67,657.78,597.56,512.06,683.06
