curso,g1-sisu,g1-menor,g1-maior,g2-sisu,g2-menor,g2-maior,g3-sisu,g3-menor,g3-maior,g4-sisu,g4-menor,g4-maior,g5-sisu,g5-menor,g5-maior
ABI - MATEMÁTICA - Área Básica de Ingresso (ABI) - Noturno,479.53,479.53,479.53,587.08,517.43,656.73,601.09,497.07,705.10,622.44,555.76,689.11,669.62,543.20,796.03
BIBLIOTECONOMIA - Bach - Noturno,586.52,556.80,616.24,594.14,585.13,603.15,589.27,546.14,632.39,592.51,515.76,669.25,617.46,513.68,721.24
BIOTECNOLOGIA - Bach - Integral,614.15,577.96,650.33,658.87,629.40,688.34,646.89,615.26,678.52,687.09,633.37,740.81,744.22,713.60,774.84
CIÊNCIA DA COMPUTAÇÃO - Bach - Integral,662.41,623.25,701.56,719.25,687.25,751.25,671.35,637.44,705.25,736.52,724.03,749.01,768.58,735.53,801.63
CIÊNCIAS BIOLÓGICAS - Bach - Integral,572.83,557.73,587.93,634.69,584.54,684.83,523.16,523.16,523.16,667.83,628.80,706.86,714.85,680.30,749.40
CIÊNCIAS BIOLÓGICAS - Lic - Integral,555.11,547.76,562.46,591.69,494.51,688.86,567.85,564.20,571.50,572.90,485.40,660.39,679.44,618.54,740.34
CIÊNCIAS SOCIAIS - Bach - Integral,552.98,482.60,623.35,582.43,503.36,661.50,597.68,554.60,640.76,593.30,498.39,688.21,612.90,472.45,753.34,
EDUCAÇÃO ESPECIAL - Lic - Integral,483.68,446.56,520.80,480.83,399.54,562.11,537.95,536.23,539.67,518.70,420.96,616.43,552.97,454.94,650.99
EDUCAÇÃO FÍSICA - Bach - Integral,514.50,406.52,622.48,583.86,534.70,633.02,557.69,503.67,611.70,644.32,594.12,694.52,662.37,611.47,713.27
EDUCAÇÃO FÍSICA - Lic - Integral,565.20,531.98,598.42,598.33,545.28,651.37,542.48,472.62,612.33,592.90,550.57,635.23,612.98,561.32,664.63
ENFERMAGEM - Bach - Integral,564.55,564.55,564.55,701.42,699.34,703.49,631.31,590.18,672.44,685.83,685.83,685.83,733.77,695.19,772.34
ENGENHARIA CIVIL - Bach - Integral,547.34,447.56,647.11,614.39,544.96,683.81,634.60,624.14,645.06,611.29,520.95,701.63,709.59,665.14,754.03
ENGENHARIA DE COMPUTAÇÃO - Bach - Integral,704.35,704.35,704.35,685.48,644.06,726.89,686.24,646.23,726.24,768.77,763.89,773.65,776.84,749.05,804.63
ENGENHARIA DE MATERIAIS - Bach - Integral,698.89,603.53,614.24,592.60,490.11,695.09,551.68,470.04,633.31,623.63,555.59,691.67,711.64,642.71,780.57
ENGENHARIA DE PRODUÇÃO - Bach - Integral,578.57,536.27,620.86,612.70,543.79,681.61,599.37,555.46,643.27,560.36,420.26,700.46,681.49,590.47,772.50
ENGENHARIA ELÉTRICA - Bach - Integral,654.36,654.36,654.36,629.24,546.83,711.64,661.72,652.64,670.79,709.19,677.37,741.01,701.85,637.67,766.03
ENGENHARIA FÍSICA - Bach - Integral,611.09,593.53,628.64,631.21,562.21,700.62,558.39,490.66,626.11,668.07,605.43,730.71,740.89,695.19,786.59
ENGENHARIA MECÂNICA - Bach - Integral,628.44,619.23,637.64,636.80,577.90,695.69,649.81,649.09,650.53,671.13,607.71,734.54,724.97,662.40,787.54
ENGENHARIA QUÍMICA - Bach - Integral,569.20,555.28,583.11,575.84,473.13,678.55,597.71,597.71,597.71,684.14,612.41,755.86,694.86,597.38,792.34
ESTATÍSTICA - Bach - Integral,593.42,532.71,654.13,612.58,532.99,692.16,696.49,696.49,696.49,615.71,484.67,746.74,718.90,644.50,793.29
FILOSOFIA - Lic OU Bach - Área Básica de Ingresso (ABI) - Noturno,626.39,626.39,626.39,666.46,666.46,666.46,615.88,576.39,655.36,666.04,585.54,746.54,632.80,531.75,733.85
FÍSICA - Lic - Noturno,652.63,652.63,652.63,594.06,543.88,644.23,624.59,624.59,624.59,616.02,584.11,647.93,638.61,512.98,764.23
FÍSICA - Lic OU Bach - Área Básica de Ingresso (ABI) - Integral,634.26,634.26,634.26,638.82,574.70,702.93,532.35,532.35,532.45,617.32,508.20,726.44,728.58,664.56,792.60
FISIOTERAPIA - Bach - Integral,613.11,606.98,619.23,685.86,673.65,698.06,670.37,655.71,685.03,698.98,679.91,718.04,735.27,687.28,783.25
GERONTOLOGIA - Bach - Integral,-,-,-,577.59,498.19,656.99,605.28,600.28,610.28,597.24,520.26,674.22,619.67,548.48,690.86
GESTÃO E ANÁLISE AMBIENTAL - Bach - Integral,553.07,542.60,563.53,577.68,546.65,608.71,575.78,554.90,596.66,540.52,422.90,658.13,613.26,538.78,687.74
IMAGEM E SOM - Bach - Noturno,642.15,557.16,727.13,677.36,642.96,711.76,648.43,605.70,691.16,717.54,708.34,726.74,737.76,719.71,755.80
