curso,g1-sisu,g1-menor,g1-maior,g2-sisu,g2-menor,g2-maior,g3-sisu,g3-menor,g3-maior,g4-sisu,g4-menor,g4-maior,g5-sisu,g5-menor,g5-maior
LETRAS ESPANHOL - Lic - Noturno,573.15,556.70,589.89,616.18,608.91,623.44,-,-,-,611.96,557.13,666.78,650.62,604.10,697.13
LETRAS INGLÊS - Lic - Noturno/Português,655.84,655.84,655.84,655.85,624.66,687.03,-,-,-,605.91,574.75,637.06,650.62,604.10,697.13
LINGUÍSTICA - Bach - Vespertino,-,-,-,612.79,599.63,625.94,619.43,556.65,682.21,621.86,580.24,663.48,661.06,556.91,765.21
MATEMÁTICA - Lic OU Bach - Área Básica de Ingresso (ABI) - Integral,458.86,458.86,458.86,674.33,674.33,674.33,675.07,675.07,675.07,627.83,555.56,700.10,652.49,547.09,757.89
MEDICINA - Bach - Integral,757.23,749.90,764.55,779.52,775.30,783.74,758.96,742.34,775.58,788.24,778.26,798.21,804.53,789.05,820.01
PEDAGOGIA - Lic - Matutino,618.56,610.29,626.83,574.51,504.58,644.43,534.15,526.35,541.95,607.99,554.58,661.39,610.42,507.83,713.01
PEDAGOGIA - Lic - Noturno,552.16,492.78,611.54,515.32,392.49,638.15,548.71,469.03,628.39,592.85,553.39,632.31,540.30,564.34,716.25
PSICOLOGIA - Bach - Integral,651.67,619.41,683.93,677.75,640.41,715.08,669.29,635.48,703.09,728.83,699.84,757.82,758.03,733.49,782.56
QUÍMICA - Bach - Integral,566.03,529.32,602.74,638.30,605.36,671.24,451.80,269.84,633.76,631.82,550.11,713.52,689.05,634.40,743.70
QUÍMICA - Lic - Noturno,584.30,584.30,584.30,601.73,522.38,681.08,568.84,568.84,568.84,569.99,480.58,659.40,600.06,519.36,680.76
TERAPIA OCUPACIONAL - Bach - Integral,533.70,450.66,616.74,625.90,575.80,675.99,583.34,541.46,625.22,637.66,588.00,687.31,702.34,666.38,738.30
TRAD. E INT. EM LÍNG. BRAS. DE SINAIS – LIBRAS/LÍNG. PORT. - Bach - Integral,552.47,552.47,552.47,549.34,535.86,562.81,545.41,545.41,545.41,536.52,440.36,632.67,574.80,465.76,683.84
