curso,g1-sisu,g1-menor,g1-maior,g2-sisu,g2-menor,g2-maior,g3-sisu,g3-menor,g3-maior,g4-sisu,g4-menor,g4-maior,g5-sisu,g5-menor,g5-maior
ABI - MATEMÁTICA - Área Básica de Ingresso (ABI) - Noturno,561.41,467.43,655.39,596.36,495.56,697.17,543.18,514.00,572.36,631.56,541.41,721.71,682.17,602.79,761.56
BIBLIOTECONOMIA - Bach - Noturno,557.33,518.08,596.58,628.71,580.79,676.64,579.24,552.08,606.40,634.91,585.14,684.68,647.14,585.54,708.75
BIOTECNOLOGIA - Bach - Integral,625.28,571.64,678.93,70284,673.21,732.47,654.66,612.32,697.00,710.32,671.89,748.76,743.75,711.03,776.48
CIÊNCIA DA COMPUTAÇÃO - Bach - Integral,605.22,509.44,701.00,682.34,634.16,730.53,673.25,603.29,743.21,731.43,704.45,758.41,767.56,746.18,788.95
CIÊNCIAS BIOLÓGICAS - Bach - Integral,549.44,485.48,613.41,680.65,670.71,690.59,644.13,605.83,682.43,647.51,606.91,688.11,732.18,692.18,772.18
CIÊNCIAS BIOLÓGICAS - Lic - Integral,550.91,,550.91,654.31,625.38,683.24,612.61,573.96,651.26,682.42,664.58,700.26,707.85,683.71,732.00
CIÊNCIAS SOCIAIS - Bach - Integral,538.74,450.54,626.94,581.07,497.81,664.33,588.51,526.29,650.73,623.27,568.54,678.01,611.26,513.24,709.29
EDUCAÇÃO ESPECIAL - Lic - Integral,584.63,,584.63,568.45,530.01,606.89,584.73,567.46,602.00,613.25,587.74,638.77,636.63,591.79,681.47
EDUCAÇÃO FÍSICA - Bach - Integral,608.42,579.78,637.07,599.08,550.68,647.48,538.37,,538.37,620.65,556.35,684.95,605.41,505.58,705.25
EDUCAÇÃO FÍSICA - Lic - Integral,496.25,441.98,550.53,577.95,561.55,594.35,603.45,599.78,607.13,586.60,513.78,659.43,658.89,636.95,680.83
ENFERMAGEM - Bach - Integral,691.89,,691.89,678.61,649.68,707.55,625.60,591.74,659.46,679.83,663.15,696.51,713.84,683.06,744.63
ENGENHARIA CIVIL - Bach - Integral,625.58,583.66,667.50,610.35,532.40,688.31,643.22,613.71,672.74,655.04,598.68,711.40,680.99,622.78,739.21
ENGENHARIA DE COMPUTAÇÃO - Bach - Integral,641.62,626.55,656.69,698.08,660.54,735.63,648.64,562.85,734.43,716.10,683.23,748.98,771.04,742.19,799.90
ENGENHARIA DE MATERIAIS - Bach - Integral,569.84,,569.84,643.35,581.43,705.27,598.52,530.13,666.91,693.53,647.39,739.67,746.15,711.26,781.04
ENGENHARIA DE PRODUÇÃO - Bach - Integral,624.32,587.53,661.11,637.09,562.69,711.50,618.37,546.01,690.73,684.01,653.99,714.04,733.05,697.90,768.21
ENGENHARIA ELÉTRICA - Bach - Integral,602.82,510.66,694.99,655.85,603.34,708.37,654.82,642.44,667.21,662.93,580.99,744.87,633.91,507.49,760.33
ENGENHARIA FÍSICA - Bach - Integral,645.10,,645.10,616.11,530.23,701.99,603.30,558.10,648.50,701,674.77,727.23,700.10,630.10,770.10
ENGENHARIA MECÂNICA - Bach - Integral,570.65,464.51,676.79,639.89,592.89,686.90,585.12,549.90,620.34,655.74,588.79,722.69,724.21,673.20,775.23
ENGENHARIA QUÍMICA - Bach - Integral,655.72,637.10,674.35,614.56,531.36,697.76,620.55,581.51,659.60,665.34,619.06,711.63,706.42,651.25,761.60
ESTATÍSTICA - Bach - Integral,658.76,598.77,718.76,711.14,680.87,741.41,589.51,559.81,619.21,683.08,622.53,743.63,743.07,700.04,786.11
FILOSOFIA - Lic OU Bach - Área Básica de Ingresso (ABI) - Noturno,562.17,472.58,651.76,633.75,593.25,674.26,581.11,515.31,646.91,623.09,593.58,652.60,662.22,602.46,721.99
FÍSICA - Lic - Noturno,559.21,483.96,634.47,600.93,551.37,650.50,602.64,580.16,625.13,606.50,560.87,652.14,680.06,624.14,735.99
FÍSICA - Lic OU Bach - Área Básica de Ingresso (ABI) - Integral,687.43,,687.43,652.48,618.74,686.23,674.79,,674.79,609.89,507.78,712.01,688.67,607.91,769.43
FISIOTERAPIA - Bach - Integral,640.90,617.00,664.80,684.64,674.59,694.70,649.86,610.83,688.90,715.32,692.14,738.51,723.66,686.16,761.16
GERONTOLOGIA - Bach - Integral,582.53,548.06,617.00,627.73,603.46,652.01,607.65,566.33,648.98,634.34,605.30,663.39,669.82,636.73,702.92
GESTÃO E ANÁLISE AMBIENTAL - Bach - Integral,566.71,525.76,607.66,613.01,589.48,636.54,606.55,581.60,631.51,632.54,605.41,659.68,668.93,621.00,716.86
IMAGEM E SOM - Bach - Noturno,649.22,623.95,674.50,685.45,662.26,708.64,651.44,623.15,679.74,721.25,695.90,746.60,735.64,714.50,756.79
LETRAS ESPANHOL - Lic - Noturno,532.97,417.84,648.10,675.43,670.95,679.91,636.80,633.90,639.70,655.92,637.45,674.39,681.18,650.18,712.18
LETRAS INGLÊS - Lic - Noturno/Português,600.11,,600.11,655.63,631.81,679.46,584.10,578.95,589.25,664.84,597.86,731.83,691.28,632.50,750.06
LINGUÍSTICA - Bach - Vespertino,600.69,565.95,635.44,590.25,525.34,655.16,587.15,512.18,662.13,582.30,480.55,684.06,611.19,521.88,700.51
MATEMÁTICA - Lic OU Bach - Área Básica de Ingresso (ABI) - Integral,546.11,414.46,677.77,647.94,612.87,683.01,591.79,502.57,681.01,645.59,548.41,742.77,647.57,539.94,755.20
MEDICINA - Bach - Integral,706.02,692.16,719.89,733.46,722.39,744.53,712.90,692.13,733.67,750.61,743.54,757.69,774.59,753.99,795.19
PEDAGOGIA - Lic - Matutino,598.29,582.16,614.43,588.02,506.06,669.98,588.92,517.11,659.34,596.19,522.93,669.28,673.52,629.51,717.54
PEDAGOGIA - Lic - Noturno,583.74,541.89,625.60,628.29,598.21,658.38,629.09,596.74,661.45,640.72,596.45,684.99,639.94,557.53,720.89
PSICOLOGIA - Bach - Integral,661.36,637.18,685.54,685.93,660.59,711.28,689.27,674.37,704.17,798.79,684.29,733.29,741.67,720.48,762.87
QUÍMICA - Bach - Integral,572.99,498.98,647.01,673.50,643.78,703.23,637.78,601.19,674.38,645.94,571.76,720.13,666.83,593.88,739.79
QUÍMICA - Lic - Noturno,499.86,486.89,512.83,605.82,538.81,672.84,566.27,466.16,666.38,665.86,632.63,699.10,694.21,670.50,711.93
TERAPIA OCUPACIONAL - Bach - Integral,627.87,613.67,642.07,662.71,644.94,680.49,623.59,592.92,654.26,668.39,620.92,715.69,699.37,666.20,712.54
TRAD. E INT. EM LÍNG. BRAS. DE SINAIS – LIBRAS/LÍNG. PORT. - Bach - Integral,515.43,478.99,551.87,544.21,476.06,612.36,547.56,505.46,589.66,569.30,513.13,625.47,591.49,497.24,685.74
