curso,g1-sisu,g1-menor,g1-maior,g2-sisu,g2-menor,g2-maior,g3-sisu,g3-menor,g3-maior,g4-sisu,g4-menor,g4-maior,g5-sisu,g5-menor,g5-maior
AGROECOLOGIA - Bach - Integral,575.08,549.67,600.50,563.80,513.47,614.13,602.54,551.83,653.26,612.73,567.76,657.70,673.35,615.70,731.01
BIOTECNOLOGIA - Bach - Integral,635.76,590.03,681.50,610.45,530.73,690.18,641.96,596.52,687.41,682.18,657.49,706.88,678.60,610.26,746.94
CIÊNCIAS BIOLÓGICAS - Lic - Noturno,,,,611.85,547.61,676.10,561.49,,561.49,603.52,539.14,667.91,624.36,580.00,668.73 
ENGENHARIA AGRONÔMICA - Bach - Integral,538.94,526.59,551.30,605.18,557.21,653.16,586.41,522.00,650.83,564.08,479.97,648.20,574.42,451.89,696.96
FÍSICA - Lic - Noturno,588.41,542.99,633.84,563.42,541.01,585.83,660.49,,660.49,582.60,505.69,659.51,603.50,478.93,728.07
QUÍMICA - Lic - Noturno,572.22,529.62,614.83,573.82,499.56,648.08,661.87,,661.87,628.59,582.48,674.70,629.39,549.18,709.60
