curso,g5-sisu,g5-menor,g5-maior,g4-sisu,g4-menor,g4-maior,g3-sisu,g3-menor,g3-maior,g2-sisu,g2-menor,g2-maior,g1-sisu,g1-menor,g1-maior
BIBLIOTECONOMIA - Bach - Noturno,683.84,588.64,754.43,660.26,590.16,732.8,640.38,592.25,678.59,645.2,544.45,664.68,642.54,511.83,630.88
BIOTECNOLOGIA - Bach - Integral,751.1,702.14,779.99,727.12,631.63,727.12,675.64,636.44,683.73,673.19,638.21,697.43,670.91,670.91,709.17
CIÊNCIA DA COMPUTAÇÃO - Bach - Integral,756.98,705.89,805.98,740.51,673.86,750.38,701.1,671.01,717.61,686.25,611.34,730.51,670.34,529.38,713.51
CIÊNCIAS BIOLÓGICAS - Bach - Integral,741.26,653.2,734.63,716.58,666.6,731.46,678.89,539.01,682.48,692.84,636.84,704.44,683.83,552.03,649.79
CIÊNCIAS BIOLÓGICAS - Lic - Integral,697.84,618.66,722.31,672.66,638.65,690.11,652.21,596.75,652.21,644.25,544.75,678.6,645.93,624.85,658.68
CIÊNCIAS SOCIAIS - Bach - Integral,706.03,585.17,766.09,676.83,585.29,699.59,637.56,533.14,653.41,657.53,507.61,694.86,641.94,499.21,654.46
EDUCAÇÃO ESPECIAL - Lic - Integral,634.33,561.7,646.39,624.64,564.14,625.59,597.84,578.29,622.07,604.07,570.34,615.24,595.81,501.5,595.81
EDUCAÇÃO FÍSICA - Bach - Integral,692.58,688.52,726.5,662.18,631.02,631.02,676.13,583.62,583.62,650.2,649.32,649.32,649.52,562.37,566.75
EDUCAÇÃO FÍSICA - Lic - Integral,671.9,598.65,726.62,653.97,603.52,640.6,644.1,525.92,610,626.62,539.83,619.82,624.82,515.33,592.95
ENFERMAGEM - Bach - Integral,712.28,586.09,737.5,693.08,593.63,718.84,671.1,546.85,662.14,681.3,578.84,681.3,658.65,547.24,626.09
ENGENHARIA CIVIL - Bach - Integral,770.69,725.49,777.5,741.21,680.46,738.75,722.95,544.84,733.25,707.39,670.09,743.56,687.33,644.84,697.48
ENGENHARIA DE COMPUTAÇÃO - Bach - Integral,800.94,738.04,789.51,768.78,720.86,782.81,730.25,554.75,738.96,717.79,625.56,746.85,711.39,711.39,737.29
