curso,g5-sisu,g5-menor,g5-maior,g4-sisu,g4-menor,g4-maior,g3-sisu,g3-menor,g3-maior,g2-sisu,g2-menor,g2-maior,g1-sisu,g1-menor,g1-maior
ENGENHARIA DE MATERIAIS - Bach - Integral,770.37,728.29,786.9,741.47,643.8,749.96,702.74,614.84,736.7,697.63,644.8,703.86,665.51,647.36,692.73
ENGENHARIA DE PRODUÇÃO - Bach - Integral,770.86,733.24,790.26,736.34,681.17,762.51,689.27,661.84,715.64,691.6,644.47,728.94,668.44,640.79,685.1
ENGENHARIA ELÉTRICA - Bach - Integral,776.81,695.41,778.43,753.86,600.9,747.59,732.53,633.04,732.53,705.13,585.4,661.43,699.4,523.53,717.37
ENGENHARIA FÍSICA - Bach - Integral,773.33,751.77,796.66,749.1,672.47,753.46,708.54,627.19,707.41,698.77,594.63,718.91,682.41,679.93,683.69
ENGENHARIA MECÂNICA - Bach - Integral,789.97,727.4,768.74,753.44,588.7,707.34,721.31,631.97,760.59,721.79,656.8,721.79,694.37,648.31,716.73
ENGENHARIA QUÍMICA - Bach - Integral,771.05,722.51,797.99,740.65,668.29,741.7,713.94,450.49,739.74,694.05,623.89,704.15,694.25,632.46,705.44
ESTATÍSTICA - Bach - Integral,719.97,614.92,750.97,690.93,614.33,702.75,652.05,576.67,652.05,655.53,568.85,654.87,634.57,589.97,643.5
FILOSOFIA - Lic OU Bach - Área Básica de Ingresso (ABI) - Noturno,712.35,631.48,760.2,687.85,469.11,696.25,649.65,646.13,649.65,658.44,546.48,691.53,642.1,524.64,544.06
FÍSICA - Lic - Noturno,721.03,581.49,757.99,687.91,498.8,683.91,643.07,593.89,596.31,658.43,480.09,658.43,642.89,642.89,642.89
FÍSICA - Lic ou Bach - Área Básica de Ingresso (ABI) - Integral,747.9,584.74,747.99,728.98,487.44,743.01,680.01,564.53,612.04,678.16,514.71,713.36,622.33,627.93,663.83
FISIOTERAPIA - Bach - Integral,711.91,659.1,774.38,689.14,659.93,694.61,657.08,551.61,652.39,674.44,559.66,681.75,651.24,501.1,635.4
GERONTOLOGIA - Bach - Integral,664.52,588.67,715.62,642.06,584.81,667.7,613.74,518.82,540.8,634.31,554.31,650.03,612.67,533.07,610.69
GESTÃO E ANÁLISE AMBIENTAL - Bach - Integral,673.18,635.95,727.81,653.73,618.48,655.08,618.8,584,618.8,632.93,574.38,643.63,611.9,500.26,635.48
IMAGEM E SOM - Bach - Noturno,746.85,705.16,801.61,729.99,700.89,749.21,705.95,655.91,717.38,704.54,637,723.21,688.75,643.03,764.9
LETRAS - Lic - Noturno,720.99,592.18,741.21,705.19,603.33,724.29,677.53,613.19,677.53,682.46,597.09,687.18,660.91,643.68,666.29
LINGUÍSTICA - Bach - Vespertino,692.64,589.81,706.36,675.01,599.74,687.61,642.96,523.74,625.85,637.28,482.2,679.06,623.16,-,-
MATEMÁTICA - Lic ou Bach - Integral,748.67,498.89,652.93,707.29,588.93,708.86,667.34,549.57,667.34,689.46,548.2,692.29,639.59,454.97,645.26
MATEMÁTICA - Licenciatura ou Bacharelado - Noturno,712.36,555.06,733.97,696.79,555.19,704.17,660.81,498.99,692.71,667.9,507.7,713.54,647.46,507.49,648.83
MEDICINA - Bach - Integral,780.06,756.37,794.54,760.77,718.23,755.07,745.6,734.17,749.07,733.61,688.64,729.64,721.49,710.29,728.43
PEDAGOGIA - Lic - Matutino,659.06,575.09,665.9,640.83,570.74,652.03,620.5,594.69,632.31,621.64,552.96,629.71,620.41,545.51,622.5
PEDAGOGIA - Lic - Noturno,657.23,589.17,679.06,638.69,563.53,648.94,627.5,593.63,708.67,627.04,585.99,637.8,609.6,550.6,609.11
PSICOLOGIA - Bach - Integral,745.38,707.81,763.67,713.68,690.99,726.47,693.46,631.73,694.67,703.08,678.99,721.36,693.53,686.21,700.43
QUÍMICA - Bach - Integral,740.48,646.62,766.73,720.42,600.78,724.53,686.93,566.89,611.66,674.31,645.94,711.89,663.07,535.39,681.33
QUÍMICA - Lic - Noturno,698.8,625.5,708.4,680.52,643.68,705.9,652.72,652.72,673.04,644.38,569.3,665.36,632.86,-,-
TERAPIA OCUPACIONAL - Bach - Integral,676.2,622.02,699.51,655.28,579.08,683.69,632.22,507.84,608.9,629.32,619.13,669.8,607.42,544.27,616.42
