curso,g5-sisu,g5-menor,g5-maior,g4-sisu,g4-menor,g4-maior,g3-sisu,g3-menor,g3-maior,g2-sisu,g2-menor,g2-maior,g1-sisu,g1-menor,g1-maior
AGROECOLOGIA - Bach - Integral,670.06,639.23,713.53,663.96,631.23,668.3,620.21,567.04,631.24,640.24,457.49,668.66,608.51,520.17,608.51
BIOTECNOLOGIA - Bach - Integral,725.71,655.36,730.14,695.24,641.94,695.28,655.47,655.47,655.48,672.08,568.13,676.96,646.69,649.99,661.58
CIÊNCIAS BIOLÓGICAS - Lic - Noturno,678.26,571.59,681.43,653.34,557.01,653.9,638,581.35,613.68,637.38,588.6,664.78,-,-,-
ENGENHARIA AGRONÔMICA - Bach - Integral,712.87,627.56,745.69,686.87,575.74,674.76,647.84,615.47,654.26,652.54,539.49,659.69,634.41,551.91,567.21
FÍSICA - Lic - Noturno,688.7,494.04,710.7,657.44,570.42,664.4,600.79,503.92,613.81,648.74,602.82,610.06,-,-,-
QUÍMICA - Lic - Noturno,682.48,508.99,710.91,666.44,536.57,677.02,635.46,539.27,622.04,630.67,519.71,652.71,626.14,487.94,584.64
