curso,g1-sisu,g1-menor,g1-maior,g2-sisu,g2-menor,g2-maior,g3-sisu,g3-menor,g3-maior,g4-sisu,g4-menor,g4-maior,g5-sisu,g5-menor,g5-maior
ABI - MATEMÁTICA - Área Básica de Ingresso (ABI) - Noturno,625.94,536.84,621.56,547.86,501.67,680.06,613.93,566.63,636.51,663.19,490.8,697.07,665.11,603.09,749.53
BIBLIOTECONOMIA - Bach - Noturno,596.75,526.95,637.83,613.76,575.43,631.45,590.93,569.15,634.3,605.95,598.3,650.44,604.6,578.66,692.73
BIOTECNOLOGIA - Bach - Integral,613.2,598.04,718.19,650.86,601.43,714.19,643.41,643.41,702.64,666.97,654.21,703.44,720.51,703.31,752.1
CIÊNCIA DA COMPUTAÇÃO - Bach - Integral,651.98,651.98,703.46,679.49,621.55,709.25,665.61,652.61,725.34,713.99,693.98,734.65,724.63,697.18,763.46
CIÊNCIAS BIOLÓGICAS - Bach - Integral,612.93,585.7,713.93,662.13,638.36,719.73,635.51,581.23,651.63,673.84,650.91,693.41,707,664.44,776.66
CIÊNCIAS BIOLÓGICAS - Lic - Integral,560.54,530.98,560.54,658.41,601.61,662.88,636.39,636.39,641.39,657.26,654.2,670.91,677.04,657.56,720.18
CIÊNCIAS SOCIAIS - Bach - Integral,609.11,561.53,648.4,617.87,596.71,657.5,607.04,406.94,634,624.37,564.23,686.56,656.24,640.87,721.81
EDUCAÇÃO ESPECIAL - Lic - Integral,571.56,541.06,600.1,590.19,571.04,600.71,583.03,530.69,586.89,591.66,572.14,624.31,593.91,584.8,670.93
EDUCAÇÃO FÍSICA - Bach - Integral,624.65,610.08,,620.35,599.88,671.18,620.3,558.85,627.32,651.35,623.33,675.63,652.5,618.93,733.85
EDUCAÇÃO FÍSICA - Lic - Integral,612.27,544.37,641.2,617.6,611.53,628,604.52,585.17,640.02,632.03,616.27,649.75,632.4,616.38,699.68
ENFERMAGEM - Bach - Integral,651.45,574.36,646.65,658.36,618.1,658.36,657.36,613.7,683.99,670.75,658.25,697.34,691.96,640.58,732.8
ENGENHARIA CIVIL - Bach - Integral,642.69,633.31,703.66,672.13,654.64,705.06,670.49,640.54,718.25,697.93,663.89,733.05,728.31,702.74,757.89
ENGENHARIA DE COMPUTAÇÃO - Bach - Integral,646.53,610.79,637.99,692.31,637.91,711.58,714.96,643.3,756.71,738.63,741.84,761.93,761.09,754.83,810.54
ENGENHARIA DE MATERIAIS - Bach - Integral,657.14,568.13,675.97,673.27,619.73,691,626.83,517.21,638.2,686.24,683.77,739.74,732.03,729.07,789.39
ENGENHARIA DE PRODUÇÃO - Bach - Integral,626.36,558.87,664.17,662.87,617.41,683.84,650.01,579.9,673.06,681.66,674.83,755.74,735.01,712.97,769.94
ENGENHARIA ELÉTRICA - Bach - Integral,642.7,525.41,676.03,692.46,634.23,700.43,662.69,571.34,702.71,700.21,656.83,742.97,737.4,674.03,777
ENGENHARIA FÍSICA - Bach - Integral,637.21,623.39,671.21,636.87,662.74,722.86,624.96,624.96,643.53,705.11,673.46,738.13,733,702.04,785.13
ENGENHARIA MECÂNICA - Bach - Integral,669.09,630.29,687.99,671.26,673.07,721.93,657.83,511.16,707.24,703.57,614.11,703.57,746.11,701.91,767.07
ENGENHARIA QUÍMICA - Bach - Integral,633.04,586.71,693.84,677.9,602.33,689.88,637.49,567.64,709.2,682.13,646.79,747.09,731.3,702.36,783.45
ESTATÍSTICA - Bach - Integral,666.74,666.93,684.93,670.33,607.7,724.83,619.93,573.63,682.71,669.7,669.7,693.49,703.54,683.77,772.21
FILOSOFIA - Lic OU Bach - Área Básica de Ingresso (ABI) - Noturno,585.93,515.76,648.85,638.9,564.78,645.53,613.5,546.1,632.88,623.25,581.71,689.41,627.9,601.31,701.09
FÍSICA - Lic - Noturno,586.47,553.49,607.21,638.06,538.03,694.8,589.29,567.99,654.07,606.47,526.44,606.47,665.44,600.73,746.16
FÍSICA - Lic OU Bach - Área Básica de Ingresso (ABI) - Integral,635.53,537.34,635.73,610.36,553.24,714.04,577.96,540.88,724.6,644.35,634.7,699.51,693.19,632.35,810.29
FISIOTERAPIA - Bach - Integral,640.7,633.4,673.1,666.1,629.4,676.88,657.8,621.46,672.1,657.06,672.24,711.56,699.85,704.75,764.43
GERONTOLOGIA - Bach - Integral,608.5,591.74,613.8,614.22,588.44,629.23,590.03,555.4,649.56,608.9,604.62,628.18,639.76,604.91,728.33
GESTÃO E ANÁLISE AMBIENTAL - Bach - Integral,575.01,575.01,658.08,597.69,578.03,611.58,608.41,522.03,635.16,635.39,620.49,660.73,634.49,636.76,712.88
IMAGEM E SOM - Bach - Noturno,654.58,654.58,681.2,683.35,683.35,710.66,669.38,601.55,697,686.38,665.58,717.81,708.48,703.43,758.18
LETRAS ESPANHOL - Lic - Noturno,619.86,595.64,619.86,630.18,644.53,668.88,607.48,529.36,607.48,627.9,613.51,645.4,646.1,643.43,709.49
LETRAS INGLÊS - Lic - Noturno/Português,642.54,552.84,661.76,,,,641.7,553.04,610.19,668.45,611.43,688.61,669.73,642.13,755.99
LINGUÍSTICA - Bach - Vespertino,586.99,561.33,584.34,615.5,504.18,642.78,535.49,501.24,679.18,637.14,538.25,694.66,615.3,596.18,706.44
MATEMÁTICA - Lic OU Bach - Área Básica de Ingresso (ABI) - Integral,451.64,597.36,654.8,642.43,594.94,714.86,611.24,561.41,713.56,666.66,605.3,751.19,671.21,605.14,737.16
MEDICINA - Bach - Integral,714.36,716.36,729.81,727.47,708.31,743.77,724.23,685.43,687.54,737.33,734.26,748.59,767.46,754.06,794.1
PEDAGOGIA - Lic - Matutino,585.56,544.63,611.57,614.66,592.96,624.23,573.93,543.37,628.99,614.91,603.57,658.2,622.27,595.47,692.06
PEDAGOGIA - Lic - Noturno,593.6,541.5,616.51,603.34,562.09,649.14,604.29,603.04,640.97,636.36,561.76,658.03,618.47,573.7,709.16
PSICOLOGIA - Bach - Integral,661.51,619.79,657.71,682.32,676.39,693.81,656.81,640.32,694.22,711.97,711.97,731.7,723.4,716.43,747.72
QUÍMICA - Bach - Integral,610.66,501.21,634.5,647.33,610.4,712.87,619.76,511.33,670.39,680.36,635.47,705.38,691.13,653.98,731.04
QUÍMICA - Lic - Noturno,536.54,514.66,585.9,612.64,601.9,669.7,614.44,460.92,656.32,649.72,593.02,628.84,660.94,632.58,714.96
TERAPIA OCUPACIONAL - Bach - Integral,609.68,569.44,641.48,635.09,615.28,659.16,620.43,555.11,636.63,636.59,622.98,687.1,638.86,653.07,725.59
TRAD. E INT. EM LÍNG. BRAS. DE SINAIS – LIBRAS/LÍNG. PORT. - Bach - Integral,564.67,483.69,564.67,589.16,549.07,589.51,591.27,533.81,588.14,589.41,452.71,618.36,567.89,526.1,668.96
