curso,g1-sisu,g1-menor,g1-maior,g2-sisu,g2-menor,g2-maior,g3-sisu,g3-menor,g3-maior,g4-sisu,g4-menor,g4-maior,g5-sisu,g5-menor,g5-maior
AGROECOLOGIA - Bach - Integral,594.03,511.04,632.36,612.33,560.63,645.83,614.07,541.56,637.93,610.74,572.21,642.34,629.26,581.96,713.53
BIOTECNOLOGIA - Bach - Integral,589.81,556.96,,655.52,618.93,680.24,644.18,649.72,668.28,642.29,640.68,690.12,689.04,654.56,727.73
CIÊNCIAS BIOLÓGICAS - Lic - Noturno,590.64,532.36,630.34,649.5,568.15,663.18,609.9,557.61,637.39,639.63,554.13,660.11,638.71,620.75,699.86
ENGENHARIA AGRONÔMICA - Bach - Integral,620.03,507.93,635.79,636.73,598.83,668.19,618.07,522.09,670.1,644.54,604.13,672.84,680.11,662.01,719.99
FÍSICA - Lic - Noturno,589.13,589.13,,594.3,576.52,578.96,,,,626.72,655.79,676.09,624.24,501.04,685.47
QUÍMICA - Lic - Noturno,596.83,556.84,619.68,607.87,541.48,649.78,578.21,578.21,628.18,642.97,544.66,699.17,635.1,566.02,703.43
