curso,g1-sisu,g1-menor,g1-maior,g2-sisu,g2-menor,g2-maior,g3-sisu,g3-menor,g3-maior,g4-sisu,g4-menor,g4-maior,g5-sisu,g5-menor,g5-maior
ADMINISTRAÇÃO - Bach - Integral,624.29,478.18,626.62,637.26,499.97,626.52,632.84,596.6,643.37,654.27,502.19,665.23,707.12,506.87,721.71
CIÊNCIAS BIOLÓGICAS - Bach - Integral,619.44,501.71,645.39,646.78,542.68,639.16,627.06,556.61,633.52,656.79,544.21,679.04,694.16,554.91,708.87
ENGENHARIA AGRONÔMICA - Bach - Integral,618.08,520.84,552.06,636.63,558.31,631.02,630.58,493.67,637.19,655.82,573.01,672.41,690.56,574.89,697.52
ENGENHARIA AMBIENTAL - Bach - Integral,631.72,466.1,466.1,659.43,491.74,630.06,641.33,443.28,662.32,665.84,433.87,679.68,715.91,492.94,742.72
ENGENHARIA DE ALIMENTOS - Bach - Integral,630.06,652.2,652.2,637.02,429.43,640.77,640.23,491.78,641.83,664.34,467.47,664.34,712.7,518.74,744.49
