curso,g1-sisu,g1-menor,g1-maior,g2-sisu,g2-menor,g2-maior,g3-sisu,g3-menor,g3-maior,g4-sisu,g4-menor,g4-maior,g5-sisu,g5-menor,g5-maior
ADMINISTRAÇÃO - Bach - Noturno,631.37,570.05,692.69,684.86,662.64,707.09,638.62,595.91,681.33,702.25,679.05,725.46,725.31,687.34,763.29
CIÊNCIA DA COMPUTAÇÃO - Bach - Integral,676.64,668.36,684.93,732.22,708.71,755.73,647.96,584.58,711.34,732.69,722.65,742.73,754.85,735.66,774.05
CIÊNCIAS BIOLÓGICAS - Bach - Integral,624.03,624.03,624.03,667.87,651.99,683.76,640.28,601.4,679.16,683.75,656.18,711.33,707.08,656.39,757.78
CIÊNCIAS BIOLÓGICAS - Lic - Integral,609.82,581.91,637.74,643.23,622.71,663.76,644.67,625.65,663.7,626.25,563.56,688.94,696.37,671.48,721.26
CIÊNCIAS BIOLÓGICAS - Lic - Noturno,588.63,550.23,627.04,653.26,620.7,685.83,619.65,562.41,676.9,687.06,657.45,716.68,694.17,655.35,733
CIÊNCIAS ECONÔMICAS - Bach - Integral,613.02,537.44,688.61,702,669.68,734.32,594.79,495.3,694.28,663.79,608.27,719.32,738.58,701.22,775.94
ENGENHARIA DE PRODUÇÃO - Bach - Integral,635.20,594.23,676.18,650.29,565.7,734.88,657.21,632.88,681.55,692.75,644.95,740.56,771.23,743.69,798.78
ENGENHARIA FLORESTAL - Bach - Integral,606.95,574.71,639.19,655.39,639.23,671.56,576.66,503.62,649.7,672.63,653.43,691.84,685.23,646.24,724.22
FÍSICA - Lic - Noturno,625.64,611.56,639.72,631.36,601.68,661.04,608.18,561.77,654.59,680.33,644.37,716.29,682.45,614.6,750.31
GEOGRAFIA - Lic - Noturno,601.55,542.55,660.55,622.72,583.28,662.16,587.46,523.65,651.28,628.86,570.34,687.38,642.00,578.21,705.8
MATEMÁTICA - Lic - Noturno,580.43,540.61,620.25,636.54,592.36,680.73,614.62,552.2,677.04,663.94,649.34,678.54,674.52,593.86,755.18
PEDAGOGIA - Lic - Noturno,638.92,616.4,661.45,651.53,627.13,675.94,634.54,590.29,678.79,653.67,612.95,694.4,689.75,620.51,758.99
QUÍMICA - Lic - Noturno,461.88,461.88,461.88,622.72,580.52,664.93,638.16,627.09,649.24,665.33,660.93,669.73,677.92,616.98,738.86
TURISMO - Bach - Integral,595.32,552.21,638.44,612.9,588.9,636.9,632.38,608.53,656.24,633.53,568.86,698.21,676.36,619.21,733.52
