curso,g1-sisu,g1-menor,g1-maior,g2-sisu,g2-menor,g2-maior,g3-sisu,g3-menor,g3-maior,g4-sisu,g4-menor,g4-maior,g5-sisu,g5-menor,g5-maior
ABI - MATEMÁTICA - Área Básica de Ingresso (ABI) - Noturno,652.56,652.56,-,630.72,593.41,668.03,666.37,624.94,707.8,642.035,609.16,674.91,626.96,516.46,737.46
BIBLIOTECONOMIA - Bach - Noturno,485.975,372.45,599.5,587.295,558.44,616.15,584.19,576.23,592.15,659.84,624.25,695.43,649.395,612.1,686.69
BIOTECNOLOGIA - Bach - Integral,596.92,542.82,651.02,679.035,633.71,724.36,671.225,663.11,679.34,738.295,715.53,761.06,760.48,725.87,795.09
CIÊNCIA DA COMPUTAÇÃO - Bach - Integral,585.14,478.53,691.75,712.6,685.34,739.86,682.995,624.14,741.85,739.225,718.69,759.76,773.535,755.76,791.31
CIÊNCIAS BIOLÓGICAS - Bach - Integral,591.04,523.58,658.5,639.15,599.36,678.94,644.19,633.6,654.78,702.27,684.54,720,713.955,683.28,744.63
CIÊNCIAS BIOLÓGICAS - Lic - Integral,569.485,511.33,627.64,679.67,670.16,689.18,647.77,643.44,652.1,681.445,652,710.89,702.195,676.76,727.63
CIÊNCIAS SOCIAIS - Bach - Integral,579.265,516.63,641.9,620.445,579,661.89,607.295,576.2,638.39,659.885,626.14,693.63,702.09,630.01,774.17
EDUCAÇÃO ESPECIAL - Lic - Integral,560.56,532.13,588.99,516.775,436.81,596.74,575.605,541.2,610.01,581.81,560.73,602.89,637.755,586.4,689.11
EDUCAÇÃO FÍSICA - Bach - Integral,592.3,568.87,615.73,596.625,543.62,649.63,595.81,540.97,650.65,620.27,581.62,658.92,669.75,642.43,697.07
EDUCAÇÃO FÍSICA - Lic - Integral,602.6,600.25,604.95,599.71,583.92,615.5,613.69,607.43,619.95,610.27,581.77,638.77,648.775,625.68,671.87
ENFERMAGEM - Bach - Integral,672.11,661.68,682.54,685.95,674.25,697.65,683.85,678.94,688.76,711.765,691.15,732.38,731.095,695.2,766.99
ENGENHARIA CIVIL - Bach - Integral,628.195,601.31,655.08,649.51,594.64,704.38,614.95,560.16,669.74,692.11,685.98,698.24,731.965,702.64,761.29
ENGENHARIA DE COMPUTAÇÃO - Bach - Integral,643.65,610.15,677.15,741.86,724.44,759.28,632.425,544,720.85,783.055,754.18,811.93,794.03,780.88,807.18
ENGENHARIA DE MATERIAIS - Bach - Integral,540.465,475.63,605.3,617.16,554.01,680.31,598.985,573.61,624.36,657.49,608.34,706.64,758.23,719,797.46
ENGENHARIA DE PRODUÇÃO - Bach - Integral,530.835,423.16,638.51,667.83,643.4,692.26,642.26,610.46,674.06,660.535,601.17,719.9,755.6,729.83,781.37
ENGENHARIA ELÉTRICA - Bach - Integral,612.41,584.26,640.56,675.09,653.67,696.51,601.785,513.01,690.56,705.2,672.49,737.91,746.07,720.87,771.27
ENGENHARIA FÍSICA - Bach - Integral,537.255,466.14,608.37,676.755,634.61,718.9,605.41,566.19,644.63,678.165,628.66,727.67,764.31,735.51,793.11
ENGENHARIA MECÂNICA - Bach - Integral,633.415,565.79,701.04,652.25,599.67,704.83,579.23,490.56,667.9,696.275,647.61,744.94,759.295,732.09,786.5
ENGENHARIA QUÍMICA - Bach - Integral,564.675,471.7,657.65,656.135,608.93,703.34,597.88,560.45,635.31,703.32,652.49,754.15,740.955,708.11,773.8
ESTATÍSTICA - Bach - Integral,590.4,491.39,689.41,696.36,646.91,745.81,599.775,545.94,653.61,712.98,688.46,737.5,756.885,720.31,793.46
FILOSOFIA - Lic OU Bach - Área Básica de Ingresso (ABI) - Noturno,609.36,549.31,669.41,601.275,554.2,648.35,522.115,392,652.23,677.37,648.24,706.5,674.14,636.4,711.88
FÍSICA - Lic - Noturno,579.585,537.63,621.54,604.015,567.17,640.86,626.465,608.77,644.16,611.995,550.16,673.83,642.09,588.37,695.81
FÍSICA - Lic OU Bach - Área Básica de Ingresso (ABI) - Integral,554.785,481.28,628.29,636.015,572.98,699.05,-,-,-,622.76,531.81,713.71,701.795,645.69,757.9
FISIOTERAPIA - Bach - Integral,633.675,572.26,695.09,672.165,648.7,695.63,668.12,657.58,678.66,709.315,691.54,727.09,744.065,712.24,775.89
GERONTOLOGIA - Bach - Integral,541.085,530.24,551.93,524.195,443.87,604.52,560.785,503.86,617.71,685.13,642.73,727.53,666.775,629.78,703.77
GESTÃO E ANÁLISE AMBIENTAL - Bach - Integral,576.195,530,622.39,606.805,556.53,657.08,583.165,568.8,597.53,648.035,620.18,675.89,657.91,639.21,676.61
IMAGEM E SOM - Bach - Noturno,681.215,668.79,693.64,700.64,694.14,707.14,669.2,640.06,698.34,731.31,729.08,733.54,747.72,723.33,772.11
LETRAS ESPANHOL - Lic - Noturno,587.07,581.1,593.04,634.58,584.4,684.76,-,-,-,644.845,626.5,663.19,661.43,625.03,697.83
LETRAS INGLÊS - Lic - Noturno/Português,598.94,572.98,624.9,675.16,662.69,687.63,643.205,624.06,662.35,677.22,642.89,711.55,691.57,636.15,746.99
LINGUÍSTICA - Bach - Vespertino,545.79,466.64,624.94,618.035,570.09,665.98,621.22,604.34,638.1,647.21,614.24,680.18,673.505,625.56,721.45
MATEMÁTICA - Lic OU Bach - Área Básica de Ingresso (ABI) - Integral,-,-,-,634.68,616.06,653.3,558.755,471.37,646.14,643.815,558.63,729,638.285,497.23,779.34
MEDICINA - Bach - Integral,755.255,750.05,760.46,775.285,761.63,788.94,768.675,759.35,778,789.875,785.91,793.84,814.635,802.89,826.38
