curso,g1-sisu,g1-menor,g1-maior,g2-sisu,g2-menor,g2-maior,g3-sisu,g3-menor,g3-maior,g4-sisu,g4-menor,g4-maior,g5-sisu,g5-menor,g5-maior
ADMINISTRAÇÃO - Bach - Integral,558.98,,558.98,493.43,453.38,533.48,574.68,513.57,635.80,513.44,373.46,653.43,606.95,514.18,699.73
CIÊNCIAS BIOLÓGICAS - Bach - Integral,576.21,502.63,649.79,601.74,572.69,630.80,,,,585.77,492.98,678.56,664.37,619.76,708.99
ENGENHARIA AGRONÔMICA - Bach - Integral,469.38,443.30,495.47,562.25,479.77,644.73,584.70,529.19,640.21,615.99,555.06,676.93,650.03,599.93,700.14
ENGENHARIA AMBIENTAL - Bach - Integral,,,,591.70,511.64,671.77,588.10,521.46,654.74,577.19,473.13,681.26,598.54,507.79,689.29
ENGENHARIA DE ALIMENTOS - Bach - Integral,543.43,447.27,639.59,547.14,450.96,643.32,589.27,552.89,625.66,542.14,442.66,641.62,650.28,583.20,717.36
