curso,g1-sisu,g1-menor,g1-maior,g2-sisu,g2-menor,g2-maior,g3-sisu,g3-menor,g3-maior,g4-sisu,g4-menor,g4-maior,g5-sisu,g5-menor,g5-maior
ADMINISTRAÇÃO - Bach - Integral,-,-,-,609.70,597.70,621.71,613.63,-,613.63,606.38,558.59,654.18,582.43,432.43,732.43
CIÊNCIAS BIOLÓGICAS - Bach - Integral,591.45,591.05,591.85,591.72,550.91,632.53,-,-,-,568.51,482.35,654.68,585.29,480.29,690.30
ENGENHARIA AGRONÔMICA - Bach - Integral,535.38,-,535.38,580.85,529.06,632.64,580.32,549.93,610.71,538.22,423.92,652.53,574.27,447.52,701.02
ENGENHARIA AMBIENTAL - Bach - Integral,-,-,-,-,-,-,-,-,-,-,-,-,633.13,569.81,696.46
ENGENHARIA DE ALIMENTOS - Bach - Integral,,,,,,,,,,,,,652.67,613.76,691.58
