curso,g1-sisu,g1-menor,g1-maior,g2-sisu,g2-menor,g2-maior,g3-sisu,g3-menor,g3-maior,g4-sisu,g4-menor,g4-maior,g5-sisu,g5-menor,g5-maior
ADMINISTRAÇÃO - Bach - Integral,606.17,536.71,561.71,607.72,496.11,643.07,600.43,501.03,599.89,625.88,455.8,644.01,662.44,511.1,681.18
CIÊNCIAS BIOLÓGICAS - Bach - Integral,581.86,492.11,599.81,628.56,576.7,662.38,565.44,495.19,648.24,631.44,582.19,677.8,659.09,593.86,722.59
ENGENHARIA AGRONÔMICA - Bach - Integral,602.87,541.49,626.78,600.97,574,664.93,588.19,588.19,642.36,637.19,605.6,671.2,640.94,603.23,696.6
ENGENHARIA AMBIENTAL - Bach - Integral,605.81,593.34,605.81,618.93,488.49,577.87,646.07,654.11,,600.78,484.66,600.78,648.23,481.71,699.47
ENGENHARIA DE ALIMENTOS - Bach - Integral,,,,612.68,454.73,620.03,519.51,519.51,634.33,634.74,477.89,687.2,659.82,518.26,699.77
