curso,g1-sisu,g1-menor,g1-maior,g2-sisu,g2-menor,g2-maior,g3-sisu,g3-menor,g3-maior,g4-sisu,g4-menor,g4-maior,g5-sisu,g5-menor,g5-maior
AGROECOLOGIA - Bach - Integral,605.03,505.47,514.87,627.03,494.03,629.94,599.01,512.49,610.60,645.21,567.71,645.21,663.53,586.30,780.21
BIOTECNOLOGIA - Bach - Integral,635.53,582.67,582.67,669.18,565.98,661.81,642.30,572.71,667.41,687.41,565.27,692.89,729.79,610.61,716.50
CIÊNCIAS BIOLÓGICAS - Lic - Noturno,616.99,521.94,618.61,644.13,650.96,659.33,635.20,593.79,635.20,665.35,550.04,669.58,673.55,572.68,699.66
ENGENHARIA AGRONÔMICA - Bach - Integral,629.99,496.79,641.09,650.91,585.59,659.21,635.37,575.30,643.46,674.07,593.53,675.70,699.90,622.30,764.44
FÍSICA - Lic - Noturno,603.79,462.91,462.91,626.72,553.03,626.72,622.88,543.79,648.83,657.91,605.30,633.66,672.68,519.98,715.78
QUÍMICA - Lic - Noturno,628.08,454.23,630.38,633.03,483.08,676.20,643.38,643.38,649.21,666.73,509.21,662.32,673.66,566.69,707.88
