curso,g1-sisu,g1-menor,g1-maior,g2-sisu,g2-menor,g2-maior,g3-sisu,g3-menor,g3-maior,g4-sisu,g4-menor,g4-maior,g5-sisu,g5-menor,g5-maior
ADMINISTRAÇÃO - Bach - Integral,584.67,584.67,,571.98,496.17,647.79,576.895,526.99,626.8,618.26,571.61,664.91,648.625,585.08,712.17
CIÊNCIAS BIOLÓGICAS - Bach - Integral,494.745,434.63,554.86,550.63,437.54,663.72,581.17,550.02,612.32,664.78,652.03,677.53,673.035,635.39,710.68
ENGENHARIA AGRONÔMICA - Bach - Integral,530.025,493.84,566.21,436.37,236.38,636.36,566.405,531.53,601.28,563.78,470.33,657.23,626.225,558.52,693.93
ENGENHARIA AMBIENTAL - Bach - Integral,586.665,546.43,626.9,557.595,449.12,666.07,590.095,512.99,667.2,622.935,553.31,692.56,627.38,529.53,725.23
ENGENHARIA DE ALIMENTOS - Bach - Integral,576.09,507.1,645.08,525.605,510.23,540.98,590.725,585.89,595.56,581.03,472.98,689.08,639.46,557.46,721.46
