curso,g1-sisu,g1-menor,g1-maior,g2-sisu,g2-menor,g2-maior,g3-sisu,g3-menor,g3-maior,g4-sisu,g4-menor,g4-maior,g5-sisu,g5-menor,g5-maior
GERONTOLOGIA - Bach - Integral,627.81,561.33,607.63,636.4,601.57,653.19,633.53,566.87,627.68,645.4,605.98,656.96,673.07,598.3,704.39
GESTÃO E ANÁLISE AMBIENTAL - Bach - Integral,618.31,606.09,642.45,637.11,572.31,639.86,620.43,560.96,624.91,654.5,593.19,686.86,685.21,643.59,726.13
IMAGEM E SOM - Bach - Noturno,682.15,657.09,691.16,696.83,681.31,716.86,695.75,672.46,716.54,722.35,687,764.59,742.1,704.11,764.76
LETRAS INGLÊS - Lic - Noturno,666.89,620.89,666.89,690.95,635.59,688.21,660.31,660.31,663.1,685.94,665.96,684.94,716.54,675.29,737.33
LETRAS ESPANHOL - Lic - Noturno,646.43,614.23,676.75,668.64,652.31,680.85,675.06,675.06,675.06,690.64,618.89,706.35,701.44,664.28,752.65
LINGUÍSTICA - Bach - Vespertino,626.79,591.98,626.79,650.59,583.11,643.58,640.96,574.99,653.45,663.68,618.86,655.74,694.03,613.68,713.51
MATEMÁTICA - Lic ou Bach - Área Básica de Ingresso (ABI) - Integral,672.13,557.03,703.64,687.06,575.24,700.43,663.14,557.56,674.17,707.17,612.76,707.17,744.09,632.74,798.19
MEDICINA - Bach - Integral,729.5,714.07,729.5,740.94,740.56,751.34,744.54,722.11,744.54,767.97,734.26,788.89,787.06,773.16,802.89
PEDAGOGIA - Lic - Matutino,613.36,545.19,598.23,640.66,585,656.94,622.46,601.94,634.14,650.51,593.46,705.53,669.5,611.86,699.63
PEDAGOGIA - Lic - Noturno,619.76,559.5,625.54,634.6,593.41,637.49,626.44,544.24,643.86,646.84,589.04,638.94,661.24,617.34,711.16
PSICOLOGIA - Bach - Integral,688.16,660.56,697.61,701.67,684.91,721.1,688.39,670.21,741.14,709.42,689.01,723.13,754.86,733.92,760.12
QUÍMICA - Bach - Integral,652.07,592.66,665.96,683.4,620.82,694.67,659.48,643.61,716.84,709.57,631.48,717.9,731.11,664.06,751.81
QUÍMICA - Lic - Noturno,636.26,530.46,544.86,648.12,593.22,629.14,641.18,550.74,647.12,675.46,626.66,675.46,698.02,653.48,746.66
TERAPIA OCUPACIONAL - Bach - Integral,639.91,587.18,660.1,656.8,597.24,667.57,647.69,647.69,650.38,675.52,651.03,721.37,688.51,662.33,703.06
TRAD. E INT. EM LÍNG. BRAS. DE SINAIS – LIBRAS/LÍNG. PORT. - Bach - Integral,598.66,510.11,608.79,615.64,510.09,618.83,606.41,542.34,627.63,637.71,575.6,638.13,641.07,551.2,634.63
