curso,g1-sisu,g1-menor,g1-maior,g2-sisu,g2-menor,g2-maior,g3-sisu,g3-menor,g3-maior,g4-sisu,g4-menor,g4-maior,g5-sisu,g5-menor,g5-maior
ABI - MATEMÁTICA - Área Básica de Ingresso (ABI) - Noturno,645.5,579.77,658.57,673.54,594.93,671.79,663.41,599.79,704.43,689.43,593.44,692.27,716.66,592.31,746.71
BIBLIOTECONOMIA - Bach - Noturno,634.63,581.05,654.41,655.43,618.68,673.31,631.36,623.75,663.13,672.03,620.23,698.6,671.05,623.51,713.7
BIOTECNOLOGIA - Bach - Integral,643.24,611.26,643.24,679.34,620.03,683.03,683.3,614.16,673.06,710.01,648.3,714.3,749.58,689.07,789.8
CIÊNCIA DA COMPUTAÇÃO - Bach - Integral,675.03,618.65,716.9,707.1,671.43,718.94,704.96,691.29,721.69,736.83,690.48,739.35,763.98,732.8,785.23
CIÊNCIAS BIOLÓGICAS - Bach - Integral,664.24,661.08,668.28,684.71,664.69,710.96,666.58,666.58,691.09,709.6,668.8,722.43,739.05,664.69,739.05
CIÊNCIAS BIOLÓGICAS - Lic - Integral,623.48,616.2,623.48,666.01,649,668.34,657.78,627.2,664.86,673.23,654.53,705.68,717.98,678.66,744.58
CIÊNCIAS SOCIAIS - Bach - Integral,633.29,581.93,681.04,653.27,604.93,682.71,638.3,613.9,655.7,668.53,626.37,696.11,693.97,633.41,760.11
EDUCAÇÃO ESPECIAL - Lic - Integral,611.83,560.36,580.61,619.09,590.87,634.16,595.93,544.16,582.74,629.66,581.51,654.3,635.86,580.14,681.97
EDUCAÇÃO FÍSICA - Bach - Integral,634.18,574.58,577.05,641.82,613.48,654.45,640.62,596.8,596.8,660.18,645.82,662.95,687.65,636.6,723.2
EDUCAÇÃO FÍSICA - Lic - Integral,627.32,554.3,582.28,636.63,587.77,651.57,620.88,608.15,621.43,648.95,609.43,654.07,666.18,615.8,666.97
ENFERMAGEM - Bach - Integral,670.45,631.95,675.4,701.09,628.41,703.51,668.43,646.95,674.8,703.83,634.2,703.83,729.71,624.11,752.96
ENGENHARIA CIVIL - Bach - Integral,690.08,659.33,700.14,702.18,663.96,738.89,705.73,625.24,708.43,726.85,621.74,730.16,763.08,708.25,781.31
ENGENHARIA DE COMPUTAÇÃO - Bach - Integral,708.95,676.14,708.95,729.01,691.41,744.6,719.59,642.36,736.04,759.81,684.06,774.99,792.56,742.18,814.28
ENGENHARIA DE MATERIAIS - Bach - Integral,653.24,633.17,655.24,679.23,660.3,699.44,670.8,659.61,689.63,720.06,665.1,812.59,765.51,717.44,821.91
ENGENHARIA DE PRODUÇÃO - Bach - Integral,677.59,653.27,684.36,687.31,654.17,717.07,684.96,673.26,712.21,728.86,672.63,771.14,768.27,733.4,791.13
ENGENHARIA ELÉTRICA - Bach - Integral,679.87,593.73,691.17,706.71,646.01,710.01,691.03,665,714.67,733.44,633.13,727.87,766.81,724.04,772.69
ENGENHARIA FÍSICA - Bach - Integral,663.53,535.57,663.53,692.9,631,719.79,704.97,704.97,713.06,734.94,659,764.37,771.76,718.83,827.57
ENGENHARIA MECÂNICA - Bach - Integral,680.49,645.17,706.3,706.2,633.7,735.69,709.84,638.76,719.41,742.84,689.43,738.94,779.31,738.39,796.44
ENGENHARIA QUÍMICA - Bach - Integral,676.45,626.95,701.7,692.93,663.01,712.76,698.9,674.33,698.9,728.65,681.39,749.88,762.04,721.84,780.8
ESTATÍSTICA - Bach - Integral,651.09,636.6,654.89,680.34,606.51,693.21,677.83,523.63,613.49,709.17,620.13,701.24,732.24,675.31,807.59
FILOSOFIA - Lic OU Bach - Área Básica de Ingresso (ABI) - Noturno,646.95,517.78,612.39,660.13,638.75,704.99,668.28,635.26,699.04,685.66,497.86,643.94,701.6,616.99,738.15
FÍSICA - Lic - Noturno,654.76,600.8,677.78,687.08,645.11,733.11,677.55,540.13,671.41,719.13,585.64,725.59,756.66,656.69,811.53
FÍSICA - Lic OU Bach - Área Básica de Ingresso (ABI) - Integral,630.07,527.31,630.07,663.51,573.21,683.2,671.34,450.91,671.34,690.84,538.69,690.84,728.99,634.27,816.63
FISIOTERAPIA - Bach - Integral,653.8,641.75,673.76,678.99,646.81,698.09,674.03,652.61,717.7,695.29,645.21,702.76,730.24,693.99,777.54
