curso,g1-sisu,g1-menor,g1-maior,g2-sisu,g2-menor,g2-maior,g3-sisu,g3-menor,g3-maior,g4-sisu,g4-menor,g4-maior,g5-sisu,g5-menor,g5-maior
ADMINISTRAÇÃO - Bach - Integral,608.17,516.1,516.1,625.03,428.72,562.39,607.72,522.96,591.24,653.27,477.13,629.86,693.12,473.46,699.56
CIÊNCIAS BIOLÓGICAS - Bach - Integral,613.96,454.7,613.96,639.01,570.57,651.64,617.14,480.61,624.99,662.16,553.36,675.08,689.43,554.81,691.4
ENGENHARIA AGRONÔMICA - Bach - Integral,610.11,471.8,601.09,624.06,556.11,626.87,625.02,625.02,636.63,652.03,554.57,688.09,678.37,556.18,682.59
ENGENHARIA AMBIENTAL - Bach - Integral,620.56,576.48,619.33,633.9,514.98,645.73,630.28,486.23,630.28,673.03,487.21,683.04,708.69,501.02,710.73
ENGENHARIA DE ALIMENTOS - Bach - Integral,621.66,621.66,628.12,646.26,451.21,670.83,-,-,-,688.66,468.6,722.13,719.19,469.07,746.87
