curso,g1-sisu,g1-menor,g1-maior,g2-sisu,g2-menor,g2-maior,g3-sisu,g3-menor,g3-maior,g4-sisu,g4-menor,g4-maior,g5-sisu,g5-menor,g5-maior
LETRAS - Lic - Noturno,666.96,605.83,668.23,679.01,625.69,693.65,691.13,503.5,597.41,692.55,608.9,702.84,713.91,668.01,738.48
LINGUÍSTICA - Bach - Vespertino,628.36,550.96,627.2,644.39,556.15,618.55,629.49,547.93,629.49,667.53,608.25,672.36,697.84,644.3,756.78
MATEMÁTICA - Lic OU Bach - Área Básica de Ingresso (ABI) - Integral,649.59,481.39,660.06,674.37,544.34,679.17,664.63,594.1,683.03,708.17,538.76,656.14,745.73,595.51,785.89
MEDICINA - Bach - Integral,727.36,698.49,717.39,731.66,719.59,740.36,742.56,704.74,739.36,761.29,721,761.29,786.46,770.5,807.99
PEDAGOGIA - Lic - Matutino,617.09,598.76,617.09,636.54,559.49,638.04,624.50,556.49,621.47,654.81,614.86,673.27,669.21,602.73,694.60
PEDAGOGIA - Lic - Noturno,615.26,569.97,623.33,628.84,585.57,644.41,620.66,599.99,634.81,644.63,573.46,669.10,657.64,565.63,668.21
PSICOLOGIA - Bach - Integral,675.78,645.64,675.78,704.69,676.58,720.33,693.36,687.12,720.61,719.91,711.23,748.29,751.09,733.13,788.67
QUÍMICA - Bach - Integral,651.43,607.27,670.31,681.52,655.43,702.76,680.73,570.50,717.33,707.94,652.79,717.99,738.90,651.41,776.33
QUÍMICA - Lic - Noturno,646.78,538.20,621.60,659.76,562.30,642.84,666.72,501.28,676.42,678.66,594.00,647.84,698.12,654.94,760.48
TERAPIA OCUPACIONAL - Bach - Integral,645.91,613.92,658.58,635.91,630.34,661.78,632.48,632.48,654.72,651.22,599.74,661.31,679.74,627.48,773.63
TRAD. E INT. EM LÍNG. BRAS. DE SINAIS – LIBRAS/LÍNG. PORT. -Bach - Integral,595.10,540.41,541.00,611.86,453.51,613.63,609.64,484.87,545.34,634.86,460.63,538.94,640.64,543.67,668.84
