curso,g1-sisu,g1-menor,g1-maior,g2-sisu,g2-menor,g2-maior,g3-sisu,g3-menor,g3-maior,g4-sisu,g4-menor,g4-maior,g5-sisu,g5-menor,g5-maior
ABI - MATEMÁTICA - Área Básica de Ingresso (ABI) - Noturno,632.57,590.23,661.94,678.03,520.24,679.61,633.56,620.81,651.63,676.2,614.56,725.97,718.89,631.71,750.76
BIBLIOTECONOMIA - Bach - Noturno,643.46,531.18,630.16,635.54,602.45,665.73,644.2,542.29,637.31,673.08,580.65,695.49,668.24,624.36,766.93
BIOTECNOLOGIA - Bach - Integral,661.46,652.11,689.69,676.13,615.76,692.28,678.19,678.19,736.2,711.81,648.79,678.94,747.76,701.19,782.89
CIÊNCIA DA COMPUTAÇÃO - Bach - Integral,675.7,631.59,675.93,700.51,649.78,736.71,679.53,593.89,688.69,740.39,674.15,751.39,754.56,719.11,775.76
CIÊNCIAS BIOLÓGICAS - Bach - Integral,657.1,634.79,662.74,684.08,640.95,699.08,675.84,589.01,636.33,724.51,641.13,735.89,736.06,708.89,761.34
CIÊNCIAS BIOLÓGICAS - Lic - Integral,648.76,533.81,637.4,672.7,626.58,672.8,637.89,553.36,606.95,679.54,574.26,689.19,715.85,670.98,736.98
CIÊNCIAS SOCIAIS - Bach - Integral,643.87,568.64,672.69,652.43,588.84,697.2,645.97,581.69,670.81,662.99,584.39,685.87,694.86,641.66,749.06
EDUCAÇÃO ESPECIAL - Lic - Integral,606.89,487.99,590.51,609.9,541.37,588.16,600.04,577,602.86,623.83,583.87,632.83,642.39,561.56,684.77
EDUCAÇÃO FÍSICA - Bach - Integral,622.7,565.1,630.28,631.97,581.83,656.85,632.7,584.75,653.55,657.12,661.77,661.77,678.42,613.17,714.85
EDUCAÇÃO FÍSICA - Lic - Integral,615.02,580.62,608.13,634.43,581.25,600.67,620.28,513.97,616.65,635.55,618.1,637.88,659.45,595.67,679.37
ENFERMAGEM - Bach - Integral,676.8,661.08,687.46,667.64,595.3,679.94,676.9,575.63,676.9,684.09,594.68,684.36,717.06,646.88,754.55
ENGENHARIA CIVIL - Bach - Integral,680.19,629.48,734.89,698.43,659.43,741.89,698.48,658.98,747.04,726.53,683.04,736.66,766.21,718.36,801.79
ENGENHARIA DE COMPUTAÇÃO - Bach - Integral,685.91,605.93,744.99,722.68,564.39,716.15,721.05,719.36,723.83,790.38,761.29,791.71,802.44,713.3,816.31
ENGENHARIA DE MATERIAIS - Bach - Integral,663.4,602.89,671.9,681.87,645.66,713.26,670.97,613.31,707.41,716.13,610.27,730.33,765.54,736.64,868.84
ENGENHARIA DE PRODUÇÃO - Bach - Integral,670.84,626.33,710.33,689.61,657.31,712.23,677.66,648.8,688.16,728.89,672.59,768.33,775.27,729.89,814.29
ENGENHARIA ELÉTRICA - Bach - Integral,688.66,626.01,692.37,712.31,597.16,666.31,713.61,616.4,727.34,744.26,659.39,764.46,774.34,716.27,801.79
ENGENHARIA FÍSICA - Bach - Integral,667.2,604.94,691.54,692.97,487.74,701.19,694.09,673.43,673.43,734.36,593.37,741.34,773.7,742.44,819.11
ENGENHARIA MECÂNICA - Bach - Integral,678.81,658.93,687.61,715.77,628.44,716.43,719.31,575.34,728.91,749.56,684.99,760.07,784.97,734.54,799.59
ENGENHARIA QUÍMICA - Bach - Integral,676.66,619.88,690.71,692.24,633.5,701.74,701.99,658.64,711.01,725.56,650.8,744.34,765.4,726.51,806.04
ESTATÍSTICA - Bach - Integral,651.24,628.5,683.49,685.74,623.14,688.17,659.49,587.9,665.73,708.01,634.54,727.03,732.57,669.31,774.43
FILOSOFIA - Lic OU Bach - Área Básica de Ingresso (ABI) - Noturno,649.19,577.58,577.58,662.61,616.81,671.56,676.16,625.85,688.11,692.46,630.35,715.46,714.2,679.6,745.79
FÍSICA - Lic - Noturno,629.69,563.47,629.69,650.37,622.21,691.27,663.83,590.23,669.36,685.19,626.83,685.19,728.53,632.6,783.07
FÍSICA - Lic OU Bach - Área Básica de Ingresso (ABI) - Integral,667.65,574.01,684.19,689.3,578.78,738.58,680,593.84,685.18,729.93,571.64,729.93,760.75,677.53,777.73
FISIOTERAPIA - Bach - Integral,659.49,626.69,659.49,668.71,614.65,707.99,639.6,603.21,657.46,703.96,628.94,734.51,716.84,651.29,745.68
GERONTOLOGIA - Bach - Integral,614.68,614.68,639.37,624.14,598.67,641.81,622.33,573.02,604.98,632.86,598.11,648.7,665.72,607.52,705.18
GESTÃO E ANÁLISE AMBIENTAL - Bach - Integral,603.2,581.89,581.89,623,578.08,662.35,623.39,580.25,631.49,657.43,632.09,674.71,674.01,650.91,724.69
IMAGEM E SOM - Bach - Noturno,678.18,643.26,708.5,691.85,687.73,710.06,708.15,682.2,711.71,713.34,694.93,738.66,748.88,736.71,789.06
