curso,g1-sisu,g1-menor,g1-maior,g2-sisu,g2-menor,g2-maior,g3-sisu,g3-menor,g3-maior,g4-sisu,g4-menor,g4-maior,g5-sisu,g5-menor,g5-maior
AGROECOLOGIA - Bach - Integral,535.98,499.20,572.76,596.51,,596.51,-,-,-,565.63,494.05,637.21,645.36,571.38,719.35
BIOTECNOLOGIA - Bach - Integral,-,-,-,525.37,-,525.37,657.13,-,657.13,644.33,579.49,709.17,644.01,542.59,745.44
CIÊNCIAS BIOLÓGICAS - Lic - Noturno,604.35,-,604.35,621.55,-,621.55,584.66,549.49,619.84,576.08,524.28,627.88,624.64,549.53,691.75
ENGENHARIA AGRONÔMICA - Bach - Integral,-,-,-,595.68,561.66,629.70,511.12,384.54,637.71,579.43,496.99,661.87,625.72,533.04,718.41
FÍSICA - Lic - Noturno,-,-,-,615.26,-,615.26,534.12,516.74,551.51,628.74,-,628.74,624.03,583.46,664.58
QUÍMICA - Lic - Noturno,540.30,527.68,552.93,540.23,-,540.23,600.26,599.81,600.71,596.64,547.82,645.47,575.15,531.28,691.02
