curso,g5-sisu,g5-menor,g5-maior,g4-sisu,g4-menor,g4-maior,g3-sisu,g3-menor,g3-maior,g2-sisu,g2-menor,g2-maior,g1-sisu,g1-menor,g1-maior
AGROECOLOGIA - Bach - Integral,668.83,559.76,701.4,657.84,424.34,657.8,618.59,420.79,645.81,634.16,433.9,642,634.14,536.54,653.77
BIOTECNOLOGIA - Bach - Integral,732.37,606.03,725,689.96,520.51,644.28,659.64,539.4,659.64,659.27,508.61,712.19,650.39,636.62,636.62
CIÊNCIAS BIOLÓGICAS - Lic - Noturno,673.16,566.08,718.79,660.99,540.85,665.11,643.03,558.31,663.9,642.85,513.06,689.71,626.09,637.51,637.51
ENGENHARIA AGRONÔMICA - Bach - Integral,714.24,613.67,742.07,681.31,572.13,684.84,638.4,558.21,648.94,657.46,548.7,675.49,631.69,553.7,649.09
FÍSICA - Lic - Noturno,671.12,547.13,700.08,664.84,528.87,682.99,620.17,-,-,644.51,534.46,613.83,604.26,499.42,499.42
QUÍMICA - Lic - Noturno,675.14,544.33,716.8,668.88,525.24,668.88,642.84,561.57,678.49,635.1,532.41,660.03,623.39,-,-
