curso,g1-sisu,g1-menor,g1-maior,g2-sisu,g2-menor,g2-maior,g3-sisu,g3-menor,g3-maior,g4-sisu,g4-menor,g4-maior,g5-sisu,g5-menor,g5-maior
ADMINISTRAÇÃO - Bach - Integral,,,,551.74,460.16,643.32,645.41,645.41,645.41,542.49,460.99,624,620.36,522.12,718.6
CIÊNCIAS BIOLÓGICAS - Bach - Integral,593.95,562.03,625.87,610.69,565.97,655.42,600.09,559.26,640.92,624.86,576.1,673.63,651.73,573.21,730.26
ENGENHARIA AGRONÔMICA - Bach - Integral,592.11,571,613.23,607.39,584.58,630.2,576.55,550.79,602.32,597.21,545.12,649.31,655.80,603.37,708.24
ENGENHARIA AMBIENTAL - Bach - Integral,578.94,532.14,625.74,570.50,468.19,672.82,637.42,637.42,637.42,619.22,543.01,695.44,617.42,502.94,731.91
ENGENHARIA DE ALIMENTOS - Bach - Integral,510.44,411.77,609.11,550.91,443.26,658.56,563.44,492.41,634.47,591.64,524.43,658.86,642.94,566.64,719.24
