curso,g1-sisu,g1-menor,g1-maior,g2-sisu,g2-menor,g2-maior,g3-sisu,g3-menor,g3-maior,g4-sisu,g4-menor,g4-maior,g5-sisu,g5-menor,g5-maior
ADMINISTRAÇÃO - Bach - Noturno,633.62,596.96,670.28,652.44,592.48,712.4,644.305,607.15,681.46,671.435,633.34,709.53,729.545,704.31,754.78
CIÊNCIA DA COMPUTAÇÃO - Bach - Integral,663.2,629.54,696.86,717.57,706.59,728.55,624.6,555.85,693.35,722.835,698.24,747.43,768.995,749.16,788.83
CIÊNCIAS BIOLÓGICAS - Bach - Integral,570.565,551.4,589.73,662.645,647.63,677.66,633.12,607.55,658.69,675.385,649.38,701.39,711.565,685,738.13
CIÊNCIAS BIOLÓGICAS - Lic - Integral,591.21,587.44,594.98,573.605,500.01,647.2,615.95,607.6,624.3,628.92,560.05,697.79,664.22,619.23,709.21
CIÊNCIAS BIOLÓGICAS - Lic - Noturno,617.32,617.26,617.38,601.03,510.21,691.85,618.035,576.34,659.73,670.205,645.5,694.91,655.845,630.54,681.15
CIÊNCIAS ECONÔMICAS - Bach - Integral,612.91,572.88,652.94,662.31,621.79,702.83,626.965,591.72,662.21,698.66,676.89,720.43,742.285,712.03,772.54
ENGENHARIA DE PRODUÇÃO - Bach - Integral,594.735,537.73,651.74,677.99,647.69,708.29,635.855,594.56,677.15,690.17,662.33,718.01,760.415,738.53,782.3
ENGENHARIA FLORESTAL - Bach - Integral,577.27,540.6,613.94,570.725,486.69,654.76,580.735,578.39,583.08,654.25,632.84,675.66,657.31,603.28,711.34
FÍSICA - Lic - Noturno,497.68,497.68,-,549.33,477.03,621.63,607.89,589.47,626.31,588.24,503.26,673.22,648.595,594.46,702.73
GEOGRAFIA - Lic - Noturno,525.035,409.81,640.26,564.56,481.38,647.74,628.55,600.25,656.85,638.535,558.98,718.09,537.135,407.76,666.51
MATEMÁTICA - Lic - Noturno,-,-,-,627.905,581.76,674.05,623.985,622.54,625.43,571.055,479.01,663.1,573.93,442.93,704.93
PEDAGOGIA - Lic - Noturno,546.65,505.35,587.95,651.52,595.29,707.75,564.535,500.74,628.33,653.73,618.1,689.36,699.1,622.19,776.01
QUÍMICA - Lic - Noturno,548.955,502.57,595.34,603.145,585.26,621.03,601.83,581.19,622.47,600.63,528.72,672.54,651.15,606.16,696.14
TURISMO - Bach - Integral,569.9,569.9,-,581.155,533.7,628.61,558.86,527.2,590.52,603.205,531.73,674.68,618.725,559.47,677.98
