curso,g1-sisu,g1-menor,g1-maior,g2-sisu,g2-menor,g2-maior,g3-sisu,g3-menor,g3-maior,g4-sisu,g4-menor,g4-maior,g5-sisu,g5-menor,g5-maior
ADMINISTRAÇÃO - Bach - Noturno,635.68,607.45,673.84,652.54,635.45,679.74,642.86,571.41,672.51,662.65,655.85,701.59,697.88,658.19,751.29
CIÊNCIA DA COMPUTAÇÃO - Bach - Integral,647.76,586.53,679.71,667.38,619.48,698.81,649.74,581.53,707.61,690.58,653.21,727.21,709.44,653.46,746.16
CIÊNCIAS BIOLÓGICAS - Bach - Integral,,,,645.85,600.51,671,634.86,636.74,660.38,688.24,669.58,715.83,686.98,627.88,720.25
CIÊNCIAS BIOLÓGICAS - Lic - Integral,635.69,594.09,643.98,633.4,567.29,645.08,621.39,525.96,643.11,642.41,612.23,659.14,662.74,652.75,694.31
CIÊNCIAS BIOLÓGICAS - Lic - Noturno,602.53,544.31,629.74,641.54,625.45,645.56,619.16,567.04,651.33,644.95,610.13,615.76,638.41,620.59,693.94
CIÊNCIAS ECONÔMICAS - Bach - Integral,646.58,632.51,680.1,654.74,634.03,675.08,647.58,594.38,689.16,671.73,648.28,696.14,712.54,682.61,781.11
ENGENHARIA DE PRODUÇÃO - Bach - Integral,651.96,638.65,673.19,664.54,663.09,699.65,675.06,669.1,715.78,683.85,643.23,740.39,736.6,727.13,784.71
ENGENHARIA FLORESTAL - Bach - Integral,598.89,598.89,642.12,628.49,605.93,647.4,625.42,501.9,628.98,630.37,598.69,696.49,655.36,619.84,719.52
FÍSICA - Lic - Noturno,579.08,552.56,,,,,,,,665.77,621.73,665.77,655.24,481.07,709.48
GEOGRAFIA - Lic - Noturno,606.6,531.85,659.94,614.49,538.64,633.75,542.54,492.04,555.21,643.75,545.61,666.56,630.44,557.66,681.1
MATEMÁTICA - Lic - Noturno,,,,645.73,543.46,680.33,645.6,645.6,,628.45,610.49,628.45,653.16,590.05,738.56
PEDAGOGIA - Lic - Noturno,599.03,582.09,654.13,620.44,598,642.33,615.58,565.59,686.81,639.79,610.06,662.53,619.95,604.13,694.66
QUÍMICA - Lic - Noturno,,,,663.77,682.43,,617.1,561.7,639.12,601.5,601.5,702.17,647.26,603.16,706.77
TURISMO - Bach - Integral,573.54,547.7,605.91,603.4,582.21,641.86,585.94,537.83,601.7,619.54,591.11,649.13,631.87,582.98,699.06
