curso,g1-sisu,g1-menor,g1-maior,g2-sisu,g2-menor,g2-maior,g3-sisu,g3-menor,g3-maior,g4-sisu,g4-menor,g4-maior,g5-sisu,g5-menor,g5-maior
AGROECOLOGIA - Bach - Integral,594.7,568.07,621.33,599.46,553.69,645.24,602.34,566.33,638.36,638.6,598.93,678.27,693.52,635.24,751.81
BIOTECNOLOGIA - Bach - Integral,616.64,589.71,643.58,681.08,668.52,693.64,639.38,629.34,649.43,631.23,553.37,709.09,728.44,706.26,750.63
CIÊNCIAS BIOLÓGICAS - Lic - Noturno,523.92,490.41,557.43,617.21,564.93,669.5,634.86,625.74,643.98,644.04,606.3,681.78,676.16,626.04,726.28
ENGENHARIA AGRONÔMICA - Bach - Integral,573.56,522.56,624.56,636.21,593.14,679.29,572.53,488.2,656.86,649.35,610.24,688.46,679.38,640.17,718.6
FÍSICA - Lic - Noturno,521.87,521.87,521.87,517.43,464.98,569.89,576.3,539.96,612.64,598.92,501.63,696.21,582.55,465.73,699.37
QUÍMICA - Lic - Noturno,579.12,550.31,607.93,603.85,534.57,673.13,608.85,580.62,637.08,640.48,548.78,732.18,649.9,596.63,703.17
