curso,g5-sisu,g5-menor,g5-maior,g4-sisu,g4-menor,g4-maior,g3-sisu,g3-menor,g3-maior,g2-sisu,g2-menor,g2-maior,g1-sisu,g1-menor,g1-maior
ADMINISTRAÇÃO - Bach - Noturno,729.14,646.46,756.44,707.76,646.89,713.56,703.74,646.95,742.25,676.76,623.74,723.88,671.06,614.34,676.7
CIÊNCIA DA COMPUTAÇÃO - Bach - Integral,732.58,630.76,748.61,708.7,567.51,723.23,684.63,542.2,715.38,681.95,616.1,705.53,657.3,639.49,657.95
CIÊNCIAS BIOLÓGICAS - Bach - Integral,715.75,619.96,737.18,695.63,622.23,743.51,655.86,650.88,655.86,680,549.01,680,643.96,568.8,640.14
CIÊNCIAS BIOLÓGICAS - Lic - Integral,684.03,474.88,700.33,661.13,532.55,671.19,629.14,467.18,627.59,639.43,509.95,616.53,618.94,618.94,661.16
CIÊNCIAS BIOLÓGICAS - Lic - Noturno,675.63,619.4,680.91,662.69,613.68,674.64,652.38,518.78,583.64,651.36,576.19,669.45,619.54,546.44,603.99
CIÊNCIAS ECONÔMICAS - Bach - Integral,743.82,668.04,765.91,715.48,638.36,715.48,683.53,624.86,722.14,673.22,524.14,690.42,660.94,491.99,698.77
ENGENHARIA DE PRODUÇÃO - Bach - Integral,767.71,713.66,808.9,735.31,687.11,797.89,696.21,664.69,733.44,702.15,657.1,715.05,672.19,432.26,711.1
ENGENHARIA FLORESTAL - Bach - Integral,711.41,604.96,734.38,686.58,613.6,694.14,659.52,543.68,667.28,660.39,577.51,674.91,641.74,404.63,657.08
FÍSICA - Lic - Noturno,692.91,534.47,714.49,669.71,565.01,669.71,630.49,630.49,666.91,639.08,590.14,658.91,620.84,632.06,632.06
GEOGRAFIA - Lic - Noturno,675.08,515.5,701.84,672.58,481.06,685.5,652,444.01,652,645.73,450.95,666.2,635.76,-,-
MATEMÁTICA - Lic - Noturno,706.95,543.34,750.99,665.94,585.6,665.94,637.51,618.16,640.79,652.05,620.1,668.83,623.03,529.29,614.39
PEDAGOGIA - Lic - Noturno,662.85,579.98,708.09,666.68,510.41,691.44,636.8,512.93,652.38,644.3,487.04,687.64,627.56,427.74,647.38
QUÍMICA - Lic - Noturno,683,596.56,699.66,687.79,597.62,644.11,646.18,646.18,646.18,651.03,536.1,681.9,619.99,627,627
TURISMO - Bach - Integral,674.81,478.57,721.67,664.24,503.98,663.62,631.6,584.84,631.6,633.1,584,636.42,614.74,499.2,566.78
