curso,g5-sisu,g5-menor,g5-maior,g4-sisu,g4-menor,g4-maior,g3-sisu,g3-menor,g3-maior,g2-sisu,g2-menor,g2-maior,g1-sisu,g1-menor,g1-maior
AGROECOLOGIA - Bach - Integral,675.03,456.23,696.99,672.33,514.5,672.33,640.34,429.61,683.59,644.51,634.91,664.41,635.66,482.7,571.87
BIOTECNOLOGIA - Bach - Integral,732.8,599.54,733.68,718.9,485.09,726.88,694.98,625.91,667.12,690.64,533.27,590.81,668.91,581.71,668.91
CIÊNCIAS BIOLÓGICAS - Lic - Noturno,675.64,518.59,681.98,655.66,440.99,630.06,630.3,494.1,647.48,650.35,541.01,650.35,622.88,508.76,622.88
ENGENHARIA AGRONÔMICA - Bach - Integral,717.11,597.94,732.74,718.84,575.43,728.53,653.03,597.1,661.23,675.69,528.29,680.24,651.2,588.96,675.29
FÍSICA - Lic - Noturno,677.02,489.08,701.83,666.29,531.34,667.88,603.42,602.46,602.46,648.83,534.66,655.2,621.9,547.99,637.52
QUÍMICA - Lic - Noturno,681.4,532.42,739.2,665.86,604.4,665.86,640.47,598.43,598.43,659.02,477.42,669.7,636.88,636.88,637.04
