curso,g1-sisu,g1-menor,g1-maior,g2-sisu,g2-menor,g2-maior,g3-sisu,g3-menor,g3-maior,g4-sisu,g4-menor,g4-maior,g5-sisu,g5-menor,g5-maior
ABI - MATEMÁTICA - Área Básica de Ingresso (ABI) - Noturno,574.02,567.7,580.34,629.07,564.84,693.3,596.11,562.26,629.96,604.61,457.46,751.76,725.96,659.6,792.33
BIBLIOTECONOMIA - Bach - Noturno,603.34,561.98,644.71,625.6,598.25,652.95,620.77,603.41,638.14,630.75,603.74,657.76,683.54,604.86,762.23
BIOTECNOLOGIA - Bach - Integral,597.08,522.7,671.46,677.86,607.22,748.5,686.13,673.19,699.07,697.39,665.2,729.59,757.88,726.54,789.23
CIÊNCIA DA COMPUTAÇÃO - Bach - Integral,674.85,633.34,716.36,714.56,687.09,742.04,688.88,657.06,720.71,737.24,709.38,765.1,778.55,735.7,821.41
CIÊNCIAS BIOLÓGICAS - Bach - Integral,642.27,612.39,672.16,693.6,666.04,721.16,664.16,646.14,682.18,683.62,657.36,709.88,708.36,667.29,749.44
CIÊNCIAS BIOLÓGICAS - Lic - Integral,629.18,609.85,648.51,685.01,661.74,708.29,660.39,651.44,669.34,683.95,659.1,708.81,712.47,692.46,732.48
CIÊNCIAS SOCIAIS - Bach - Integral,608.45,573.06,643.84,633.64,601.81,665.47,656.74,630.77,682.71,650.6,611.87,689.33,705.74,656.31,755.17
EDUCAÇÃO ESPECIAL - Lic - Integral,582.99,555.67,610.31,601.80,584.04,619.57,601.05,586.81,615.3,617.88,602.87,632.89,658.88,607.8,709.97
EDUCAÇÃO FÍSICA - Bach - Integral,587.37,544.42,630.32,633.63,602.95,664.32,615.79,600.25,631.33,657.34,649.45,665.23,693.95,661.23,726.68
EDUCAÇÃO FÍSICA - Lic - Integral,603.09,594.07,612.12,639.38,621.4,657.37,593.62,560,627.25,636.13,623.78,648.48,673.23,641.2,705.27
ENFERMAGEM - Bach - Integral,670.29,644.13,696.46,686.20,671.26,701.15,660.54,624.49,696.6,688.85,675.04,702.66,710.84,677.08,744.61
ENGENHARIA CIVIL - Bach - Integral,632.26,589,675.53,664.91,621.99,707.84,580.19,462.64,697.75,703.63,675.18,732.09,747.02,724.51,769.53
ENGENHARIA DE COMPUTAÇÃO - Bach - Integral,673.15,605.66,740.64,737.71,715.16,760.26,728.59,728.59,728.59,666.91,570.23,763.6,778.01,737.35,818.68
ENGENHARIA DE MATERIAIS - Bach - Integral,647.09,586.36,707.83,665.53,641.36,689.7,623.21,566.43,680,703.75,685.84,721.67,769.51,737.99,801.04
ENGENHARIA DE PRODUÇÃO - Bach - Integral,643.57,606.14,681.01,674.95,648.3,701.6,640.30,583.7,696.91,679.8,649.1,710.5,769.2,740.99,797.41
ENGENHARIA ELÉTRICA - Bach - Integral,581.6,483.79,679.41,694.73,670.7,718.76,621.16,537.89,704.44,675.83,618.66,733.01,754.51,728,781.03
ENGENHARIA FÍSICA - Bach - Integral,640.74,619.47,662.01,662.86,627.84,697.89,622.18,531.43,712.93,624.5,504.36,744.64,785.7,726.99,844.41
ENGENHARIA MECÂNICA - Bach - Integral,561.01,425.57,696.46,680.45,642.73,718.17,669.59,614.23,724.96,702.15,656.8,747.5,751.06,721.03,781.09
ENGENHARIA QUÍMICA - Bach - Integral,662.41,635.15,689.68,665.4,614.49,716.31,625.24,561.23,689.26,683.57,622.83,744.31,753.22,725.34,781.11
ESTATÍSTICA - Bach - Integral,615.48,550.06,680.9,688.98,626.97,750.99,673.64,616.91,730.37,591.12,433.91,748.34,758.21,724.24,792.19
FILOSOFIA - Lic OU Bach - Área Básica de Ingresso (ABI) - Noturno,603.64,563.13,644.16,652.21,640.01,664.41,625.93,611.88,639.98,697.32,668.91,725.73,693.2,664.6,721.8
FÍSICA - Lic - Noturno,622.74,620.53,624.96,616.85,581.67,652.04,637.71,628.91,646.51,668.34,632.46,704.23,680.81,630.69,730.94
FÍSICA - Lic OU Bach - Área Básica de Ingresso (ABI) - Integral,577.19,521.79,632.6,685.35,647.23,723.48,578.85,511.06,646.64,704.24,672.86,735.63,729.73,672.15,787.31
FISIOTERAPIA - Bach - Integral,648.85,604.06,693.64,691.30,668.95,713.66,686.90,676.13,697.68,690.18,666.21,714.16,750.48,719.6,781.36
