curso,g1-sisu,g1-menor,g1-maior,g2-sisu,g2-menor,g2-maior,g3-sisu,g3-menor,g3-maior,g4-sisu,g4-menor,g4-maior,g5-sisu,g5-menor,g5-maior
GERONTOLOGIA - Bach - Integral,592.63,564.91,620.36,622.85,606.38,639.33,618.06,599.97,636.16,651.05,630.97,671.13,664.39,624.16,704.63
GESTÃO E ANÁLISE AMBIENTAL - Bach - Integral,558.48,504.41,612.55,636.62,616.29,656.95,596.89,559.05,634.74,682.72,664.59,700.85,696.66,666.89,726.43
IMAGEM E SOM - Bach - Noturno,664.81,651.98,677.64,719.91,712.14,727.68,693.98,688.48,699.48,719.43,709.16,729.71,752.54,735.88,769.21
LETRAS ESPANHOL - Lic - Noturno,605.57,536.1,675.05,631.43,592.88,669.99,668.66,656.68,680.65,654.24,616.24,692.25,698.58,673.73,723.44
LETRAS INGLÊS - Lic - Noturno/Português,691.5,663.1,719.9,687.48,679.66,695.3,646.48,646.48,646.48,602.13,572.88,631.38,711.07,680.49,741.66
LINGUÍSTICA - Bach - Vespertino,624.00,573.8,674.21,605.65,552.21,659.09,646.84,568.18,725.51,655.25,602.91,707.6,679.26,630.84,727.68
MATEMÁTICA - Lic OU Bach - Área Básica de Ingresso (ABI) - Integral,651.58,625.71,677.46,597,469.09,724.91,658.13,652.81,663.46,673.3,586.83,759.77,701.01,630.13,771.9
MEDICINA - Bach - Integral,729.75,722.26,737.24,748.94,734.76,763.13,733.68,727.6,739.77,759.76,747.81,771.71,796.19,778.21,814.17
PEDAGOGIA - Lic - Matutino,586.88,559.24,614.53,636.89,622.09,651.69,611.97,580,643.94,645.41,614.44,676.39,663.23,613.66,712.8
PEDAGOGIA - Lic - Noturno,538.11,518.96,557.26,611.76,650.86,572.67,612.88,658.56,567.21,632.78,597.23,668.33,653.86,613.29,694.44
PSICOLOGIA - Bach - Integral,691.87,686.68,697.07,722.24,712.72,731.76,698.21,680.17,716.26,717.66,683.19,752.13,758.97,745.26,772.69
QUÍMICA - Bach - Integral,620.42,595.62,645.23,611.81,528.92,694.71,646.3,613.97,678.63,697.20,679.38,715.03,722.54,696.76,748.32
QUÍMICA - Lic - Noturno,636,636,636,596.45,511.7,681.2,549.36,546.78,551.94,642.87,604.3,681.44,673.63,613.16,734.1
TERAPIA OCUPACIONAL - Bach - Integral,649.93,575.31,598.1,653.71,583.39,649.9,657.43,505.76,638.96,677.33,603.6,673.14,737.84,583.41,655.09
TRAD. E INT. EM LÍNG. BRAS. DE SINAIS – LIBRAS/LÍNG. PORT. - Bach - Integral,586.70,634.7,665.17,616.64,630.89,676.54,572.36,638.81,676.06,638.37,670.51,684.16,619.25,697.59,778.1
